Temp,Einter,Eintra,Etotal,Pinter,Pintra,Ptotal
146.211,-9.67269,1.2224,-8.45029,32422.4,-27799.6,6692.26
149.767,-9.66067,1.2252,-8.43547,32074.7,-29872,4322.38
148.974,-9.68155,1.26245,-8.41909,31952,-27826.2,6234.34
145.683,-9.699,1.28335,-8.41566,31366.8,-29251.6,4177.11
147.858,-9.71326,1.28074,-8.43252,30579.8,-28623.3,4049.2
150.561,-9.66275,1.22308,-8.43967,30910.3,-28754.8,4286.47
148.817,-9.69865,1.30274,-8.39591,30487.6,-29287.7,3306.13
145.849,-9.64533,1.18232,-8.463,29787.5,-28374.1,3477.58
148.699,-9.64253,1.30685,-8.33568,30421.6,-30069.7,2456.52
148.001,-9.64101,1.28558,-8.35543,31549.1,-29845.5,3798.31
146.195,-9.62217,1.26114,-8.36103,30016.7,-28063.4,4022.5
148.956,-9.64006,1.25413,-8.38593,28628.2,-28926,1810.46
149.213,-9.52632,1.17138,-8.35494,30101,-26587.3,5625.58
147.875,-9.64372,1.27169,-8.37203,29888.4,-29027.1,2954.2
147.408,-9.52602,1.22277,-8.30326,30093.5,-25355.5,6824.3
145.561,-9.58165,1.28717,-8.29449,30085.4,-27126.5,5019.12
150.418,-9.7277,1.29915,-8.42856,29650,-32744.5,-965.468
147.507,-9.54667,1.18095,-8.36573,29743.9,-25157.5,6674.14
151.725,-9.58782,1.27575,-8.31207,31136.2,-27636.6,5647.01
148.854,-9.64557,1.29362,-8.35195,30620.8,-30343.1,2384.51
145.3,-9.59534,1.26634,-8.32899,28715.3,-25897.1,4874.68
147.574,-9.56424,1.28758,-8.27667,31081.3,-27341,5828.97
150.002,-9.61531,1.25348,-8.36183,29791.6,-29732,2182.65
148.551,-9.55342,1.21502,-8.3384,30182.2,-28155,4129.73
150.168,-9.5971,1.24008,-8.35701,29100.5,-29588.1,1637.78
146.684,-9.4565,1.23688,-8.21963,29837.8,-27394,4519.91
147.606,-9.49452,1.25096,-8.24356,30484.1,-30305.3,2267.9
151.754,-9.51186,1.23093,-8.28093,28865.4,-28694.6,2318.67
151.861,-9.56724,1.27876,-8.28848,29346.7,-28558.2,2937.91
150.988,-9.53883,1.22826,-8.31057,28173.8,-27559.3,2751.47
148.672,-9.5273,1.26808,-8.25922,28409.4,-28323.5,2190.16
148.877,-9.52868,1.26171,-8.26697,29994.5,-29732.6,2368.98
