#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
3,-22913.034984293714,2824.9412455048896,-20088.093738788826,150.0052687941686,0
6,-22822.370051557737,2860.1427678188616,-19962.227283738874,151.8744807025839,96.7
9,-22856.93766021714,2902.1188052430552,-19954.818854974084,154.10342149444978,102
12,-22757.62956171915,2826.166756658757,-19931.462805060393,150.07034382195496,82.6
15,-22909.981220095113,2883.0146098344676,-20026.966610260646,153.0889827085382,88.1
18,-22714.104337577082,2805.497345135489,-19908.606992441593,148.97279156797495,94.2
21,-23149.029845775964,2852.5616104985747,-20296.46823527739,151.47191886402882,96.6
24,-22880.390067907865,2845.5626905229155,-20034.82737738495,151.1002740116312,92.5
27,-22812.09109118952,2819.4296322911314,-19992.661458898387,149.71260039869847,95.8
30,-22711.986162759058,2849.1210326279765,-19862.865130131082,151.28922309677787,98
33,-22798.755242879488,2901.1298320124224,-19897.625410867066,154.05090670479623,101
36,-22774.53102593856,2870.078998049205,-19904.452027889354,152.40209765351167,99.7
39,-22841.946418866646,2882.1303208451786,-19959.816098021467,153.04202668503112,101
42,-22584.879015132785,2803.501469919078,-19781.377545213705,148.86680996612967,103
45,-22743.901755273095,2794.7345745303987,-19949.167180742697,148.40128506313857,103
48,-22717.71419991189,2875.6984871357754,-19842.015712776116,152.70049429176325,101
51,-22632.338921157658,2869.1103875518356,-19763.228533605823,152.35066413140004,99.3
54,-22898.006358362793,2821.689366195091,-20076.3169921677,149.83259297985612,99
57,-22824.921720538987,2930.1121687555215,-19894.809551783466,155.58987790299355,100
60,-22930.9712303298,2855.449465940883,-20075.52176438892,151.62526489646453,99
63,-22784.3204656859,2869.487295576821,-19914.83317010908,152.37067806609286,99.4
66,-22835.996058381555,2898.7667376020468,-19937.22932077951,153.92542564823322,100
69,-22941.870572132713,2835.7704910701596,-20106.100081062556,150.58030514030187,101
72,-22696.402598962362,2881.9053917197243,-19814.49720724264,153.0300828777123,99.2
75,-22514.979689828353,2888.2617329762206,-19626.71795685213,153.36760659798273,100
78,-22595.979383925296,2857.068480254956,-19738.91090367034,151.71123506584436,101
81,-22531.597285282594,2886.0960660958026,-19645.501219186794,153.25260900536634,102
84,-22525.709321986462,2898.9098459558763,-19626.799476030585,153.93302474683998,100
87,-22731.204917825642,2819.5562586318892,-19911.648659193754,149.71932429722628,101
90,-22534.576778005285,2876.5895927864385,-19657.987185218844,152.74781228213365,99.3
93,-22815.723385103105,2857.5369280336736,-19958.18645706943,151.73610979025653,99.1
96,-22891.979363241844,2832.9402024572805,-20059.039160784563,150.430015924618,98.8
99,-22747.367277193232,2873.3429851695228,-19874.02429202371,152.57541639637157,98.4
102,-22866.33576019031,2818.613377825559,-20047.72238236475,149.66925702980274,99
105,-22787.992177726817,2772.623893398029,-20015.36828432879,147.22720093952682,99.7
108,-22853.367907713226,2835.8837775376996,-20017.484130175526,150.58632068736546,99.2
111,-22881.444702483102,2872.0157856214073,-20009.428916861696,152.50494168286193,99.4
114,-22879.342946647143,2841.116879505403,-20038.22606714174,150.8642000480572,100
117,-22780.879910470394,2881.511488546492,-19899.3684219239,153.00916649530126,100
120,-22804.57064971936,2846.2639054113915,-19958.30674430797,151.13750874279444,100
