Einter,Eintra,Etotal,Pinter,Pintra,Ptotal
-9.67412,1.22163,-8.45248,32411,-27169.2,7316.2
-9.67468,1.28844,-8.38623,32634.5,-29387.7,5382.66
-9.79864,1.34325,-8.45539,31668,-27967.6,5816.53
-9.71863,1.25477,-8.46386,30746.1,-27424,5457.87
-9.76734,1.40781,-8.35954,29477.6,-28671.4,2884.21
-9.63378,1.29532,-8.33846,29016.8,-26233.2,4887.37
-9.74065,1.32432,-8.41633,29818.9,-29256.2,2698.08
-9.6568,1.25154,-8.40526,30854.8,-29105.8,3805.45
-9.77229,1.31121,-8.46108,31260.9,-28555.6,4815.19
-9.68908,1.26916,-8.41991,32175.1,-26466.8,7853.57
-9.74175,1.31786,-8.42389,31570.9,-30091.8,3568.11
-9.74606,1.37292,-8.37313,31784.4,-29946.3,3958.37
-9.75059,1.28727,-8.46332,31561.2,-28277.6,5463.53
-9.72664,1.23656,-8.49008,32366.4,-28240.2,6251.99
-9.66428,1.26946,-8.39482,30545.3,-26924.5,5716.99
-9.60182,1.30061,-8.30121,30987.1,-28910.3,4118.51
-9.58842,1.27415,-8.31427,31978.2,-28883.3,5214.87
-9.62369,1.22978,-8.39391,30509.7,-27344.8,5284.81
-9.70357,1.34085,-8.36272,30629.1,-28505,4258.25
-9.66988,1.37874,-8.29114,31525.9,-30611.3,3025.29
-9.70321,1.31191,-8.3913,32349.2,-28911.7,5550.15
-9.54057,1.23296,-8.30761,31774.8,-26732.3,7144.54
-9.68397,1.32946,-8.35451,30484.8,-29268.5,3364.83
-9.55191,1.26092,-8.291,31064.4,-27617.9,5536.69
-9.44217,1.15914,-8.28303,29315.4,-24705.2,6697.7
-9.62144,1.30105,-8.32038,30841.1,-28184.3,4805.68
-9.70802,1.39143,-8.31659,31289.7,-27911.6,5487.7
-9.62648,1.25977,-8.36671,31613,-26803.9,6921.85
-9.6074,1.274,-8.33339,30435,-27807.2,4777.21
-9.60569,1.2542,-8.35148,30924.5,-30778.2,2273.83
-9.53315,1.25425,-8.2789,31727.6,-25695,8137.18
-9.5914,1.25014,-8.34126,29867.3,-26544.2,5435.18
-9.59626,1.27619,-8.32007,30418.5,-29385.8,3107.63
-9.6187,1.23267,-8.38603,31583.4,-26255.5,7450.92
-9.70241,1.31175,-8.39066,31010.1,-29017,4127.42
-9.6056,1.23723,-8.36837,30964.7,-26644,6397.62
-9.6633,1.29421,-8.3691,31101.7,-27212.6,6005.93
-9.68916,1.21366,-8.47549,31690.8,-26502,7286.95
-9.64758,1.21885,-8.42873,31201.5,-27739.4,5554.43
-9.59504,1.22181,-8.37324,31033.3,-27357,5776.85
-9.64924,1.24988,-8.39937,31160,-30237.1,3055.04
-9.72246,1.27641,-8.44605,30606.1,-28036.4,4689.08
-9.71423,1.25724,-8.45699,31068.4,-27788.1,5399.63
-9.77541,1.24259,-8.53282,32515.3,-29258.1,5363.82
-9.87571,1.39244,-8.48327,33457.5,-33741.2,1834.71
-9.838,1.40251,-8.43549,32361.3,-30736.8,3726.14
-9.62961,1.1937,-8.43591,32928.8,-25809.1,9196.42
-9.69655,1.2881,-8.40846,32743.4,-29985,4874.71
-9.69339,1.26208,-8.43131,31653.9,-28765.5,5022.51
-9.68864,1.27743,-8.41121,30596.4,-27022.6,5655.53
-9.69338,1.26926,-8.42412,30198.9,-27013.7,5282.53
-9.66164,1.3165,-8.34513,30404.8,-27842.8,4709.42
-9.70324,1.26039,-8.44285,29893.6,-28971.7,3044.05
-9.54247,1.21926,-8.32321,30615.5,-26379,6364.38
-9.66815,1.2723,-8.39585,31760.6,-28963.6,4928.63
-9.76262,1.27674,-8.48588,30194.1,-28489.3,3824.92
-9.66919,1.23412,-8.43507,30910.9,-26107.1,6915.77
-9.61105,1.27174,-8.33931,30192.7,-27025.2,5286.83
-9.68324,1.34658,-8.33666,30907.3,-30950.6,2105.87
-9.68729,1.29608,-8.39121,30281.4,-29058.8,3384.46
-9.69465,1.28092,-8.41373,30209.4,-29687.8,2651.54
-9.71094,1.35363,-8.3573,30593.7,-29726.9,3029.27
-9.67901,1.26531,-8.41369,30997.6,-29243.2,3873.02
-9.70064,1.24158,-8.45906,29975.3,-26981.8,5108.63
-9.70549,1.30498,-8.40051,29189.4,-28297.6,3012.29
-9.65456,1.29308,-8.36148,29423,-30798.9,720.578
-9.5617,1.26104,-8.30065,30208.7,-28327.7,3947.12
-9.65738,1.2746,-8.38278,29558.1,-28124.5,3534.34
-9.5457,1.24036,-8.30534,29280.5,-26688.4,4705.3
-9.68699,1.32279,-8.3642,29544.6,-28974.9,2699.31
