#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
8010,-23049.393003178717,2767.478136553434,-20281.914866625284,146.9539596323488,85.2
8100,-22978.438369803654,2820.7513947479515,-20157.6869750557,149.78278640095,85.3
8190,-23070.0528127782,2778.180795047297,-20291.872017730904,147.52227416516916,85.3
8280,-23125.604989735235,2758.846475068902,-20366.758514666333,146.4956156922092,85.2
8370,-22905.08305532008,2795.465622552479,-20109.6174327676,148.440103943081,85.2
8460,-22988.438556051886,2801.0643511677463,-20187.374204884138,148.73739819377565,85.3
8550,-23174.46324098135,2827.346240368557,-20347.117000612794,150.13297477798227,85.4
8640,-23059.128888179926,2820.5296884389772,-20238.59919974095,149.7710137262,85.3
8730,-23292.109223717343,2849.8495172078915,-20442.259706509452,151.3279058571349,85.4
8820,-23096.82956830581,2797.444159015916,-20299.385409289895,148.54516485168895,85.5
8910,-23274.60214322187,2836.602266744457,-20437.999876477414,150.6244726902635,85.4
9000,-22952.63803087121,2815.1267520963365,-20137.511278774873,149.4841161067733,85.4
9090,-22963.07918755492,2759.271525387069,-20203.80766216785,146.51818599781438,85.4
9180,-23141.848513814984,2832.346546156988,-20309.501967657998,150.39849258832265,85.5
9270,-23027.406194421434,2820.7868959164452,-20206.61929850499,149.7846715241648,85.6
9360,-23158.774089782717,2773.774202078418,-20384.9998877043,147.28828269231465,85.6
9450,-23040.437432998282,2816.744451621958,-20223.692981376324,149.57001646047277,85.6
9540,-23074.77743167334,2797.5468298410406,-20277.2306018323,148.55061670480083,85.7
9630,-22957.77279395319,2772.775054257574,-20184.997739695616,147.23522762872022,85.8
9720,-23083.1108248917,2791.7741949404444,-20291.336629951256,148.24408797564854,85.7
9810,-22953.239555948836,2820.833452506845,-20132.40610344199,149.78714369376056,85.8
9900,-22914.846419754962,2758.729938201211,-20156.116481553752,146.48942754787518,85.7
9990,-22969.068910461443,2819.7498564913794,-20149.319053970063,149.7296044044664,85.7
10080,-23111.51523527928,2802.550990989654,-20308.964244289626,148.81633923597968,85.7
10170,-22889.05917817852,2763.967612995996,-20125.091565182523,146.76754972712348,85.7
10260,-22728.27902699243,2794.8197801375227,-19933.45924685491,148.4058095076805,85.8
10350,-22926.831453844352,2838.876966625618,-20087.954487218733,150.74525996951843,85.9
10440,-23057.81234421872,2773.4852590190985,-20284.32708519962,147.27293972497034,85.8
10530,-23055.03176018168,2840.6994072534776,-20214.332352928202,150.84203214015332,85.9
10620,-22779.12985937952,2823.6193889379165,-19955.510470441604,149.93507779463837,86
