Einter,Eintra,Etotal,Pinter,Pintra,Ptotal
-9.66536,1.22794,-8.43742,32019.5,-28370,5907.51
-9.70129,1.31938,-8.38192,31876.6,-28824.5,5356.36
-9.70613,1.339,-8.36712,31885,-30982.5,3192.76
-9.70791,1.33439,-8.37352,32343.2,-28372.8,6264.35
-9.69787,1.22918,-8.46869,30965.3,-28596.5,4677.74
-9.67057,1.23792,-8.43265,31416.4,-27563.5,6158.47
-9.57292,1.23838,-8.33454,31246.3,-26580,6945.79
-9.62638,1.32469,-8.30169,30196.2,-29922.3,2561.21
-9.62127,1.35117,-8.2701,30568.4,-30372.7,2495.48
-9.6108,1.28607,-8.32472,29410.6,-29787.6,1915.89
-9.52378,1.25848,-8.2653,30118.7,-27930.8,4482.22
-9.52461,1.32608,-8.19853,30751.6,-27493.2,5537.74
-9.61608,1.32658,-8.28951,31083.2,-30563.9,2828.74
-9.62547,1.31725,-8.30823,30092.2,-29009.4,3371.24
-9.58841,1.27417,-8.31424,30838.8,-28678.7,4442.82
-9.58903,1.26166,-8.32737,30102.6,-25116.3,7303.25
-9.55647,1.27764,-8.27883,30709.5,-30401.7,2655.3
-9.58728,1.29309,-8.29419,29799.6,-27075,5012.53
-9.59459,1.32418,-8.27041,31146,-28677.2,4789.37
-9.63992,1.29569,-8.34424,30176.1,-28882.2,3639.22
-9.6605,1.3308,-8.32969,30200.5,-30158.9,2355.23
-9.63778,1.39234,-8.24543,31135.2,-30167.8,3256.97
-9.62042,1.28294,-8.33749,31270.4,-28500,5093.72
-9.56845,1.27992,-8.28853,30214.3,-28850.2,3629.82
-9.53409,1.25403,-8.28006,30234.7,-28903.9,3605.31
-9.62074,1.33008,-8.29065,30561.4,-27641.4,5196.03
-9.58507,1.28282,-8.30226,31816.4,-27975.6,6142.22
-9.68107,1.32135,-8.35972,31100.6,-26160,7251.47
-9.62488,1.36129,-8.26358,30522.9,-29266.1,3543.93
-9.61554,1.31409,-8.30145,29819.9,-28969,3156.83
-9.57974,1.27123,-8.30851,30155.7,-27140.8,5337.91
-9.59027,1.31983,-8.27044,29231,-28736.7,2789.14
-9.46249,1.23139,-8.2311,28383.1,-25943.5,4722.6
-9.43854,1.22462,-8.21392,28444.5,-24694,6075.11
-9.42917,1.31911,-8.11006,29135,-24324,7125.18
-9.56449,1.25169,-8.31279,29971.9,-26009.2,6237.41
-9.58634,1.38659,-8.19975,29703.8,-31114.8,920.383
-9.63088,1.28667,-8.34421,29009.2,-28939.9,2345.55
-9.57087,1.27952,-8.29136,29365.8,-27976,3663.54
-9.59684,1.26446,-8.33238,29830.8,-26963.5,5165.64
-9.62951,1.33685,-8.29266,29017.4,-28459.3,2876.43
-9.53993,1.28138,-8.25855,28880.4,-28272.5,2934.9
-9.59973,1.32873,-8.271,29305.5,-30263.3,1370.32
-9.65048,1.30853,-8.34194,29120.9,-27814.5,3631.73
-9.5738,1.26399,-8.30981,29963.3,-29270.9,2994.03
-9.53184,1.27455,-8.25729,31394.3,-27330.1,6342.54
-9.57808,1.28193,-8.29615,30003.8,-30084,2202.27
-9.51567,1.34825,-8.16742,30062.2,-29559.6,2770.37
-9.51804,1.28663,-8.23141,29325.7,-28603.4,3080.33
-9.46786,1.34321,-8.12465,29249.5,-27445,4118.91
-9.51331,1.21178,-8.30153,29198.1,-26739.1,4764.66
-9.5518,1.3965,-8.1553,29039,-31088.1,277.351
-9.53882,1.30965,-8.22917,29071.7,-27953.1,3401.73
-9.54023,1.30057,-8.23966,30765,-27375.2,5688.97
-9.65401,1.38461,-8.26941,29467,-31233.6,523.801
-9.60806,1.3143,-8.29376,30466.2,-29405.9,3373.99
-9.59999,1.32346,-8.27653,29112,-28703.2,2698.36
-9.54374,1.2929,-8.25084,29532.8,-27351.6,4493.39
-9.38602,1.26192,-8.1241,28198.1,-27612.2,2931.66
-9.36098,1.34794,-8.01304,28985.9,-27088.6,4193.31
-9.55518,1.39852,-8.15666,28756.4,-26425.8,4644.99
-9.53372,1.35097,-8.18275,29347.5,-29746.8,1971.57
-9.5383,1.28967,-8.24864,30126.9,-27793.9,4652.47
-9.48087,1.25799,-8.22287,30407.1,-27377.8,5324.78
-9.45309,1.28283,-8.17026,28853,-26093.6,5034.31
-9.55021,1.30343,-8.24678,28461.7,-29097.6,1687.79
-9.51528,1.33274,-8.18254,28841,-29074.8,2046.27
-9.53815,1.31236,-8.22579,29235,-26384.5,5145.89
-9.52019,1.27701,-8.24318,28718.4,-28804.2,2222.59
-9.60087,1.31459,-8.28628,30039.5,-29698,2624.73
-9.57645,1.27109,-8.30536,29956.7,-27285.4,4992.15
-9.54191,1.24892,-8.29299,29318.5,-26366.9,5255.7
-9.65595,1.35455,-8.3014,28991,-28869.5,2421.75
-9.55885,1.28542,-8.27342,29920.9,-28201.2,4079.01
-9.58649,1.29382,-8.29268,29281.1,-29389.3,2194.36
-9.71473,1.40369,-8.31104,29185.7,-28780.7,2713.06
-9.69632,1.31384,-8.38248,29576.4,-28956.2,2955.02
-9.70178,1.37954,-8.32224,29373,-28965.1,2684.88
-9.64167,1.28019,-8.36148,29817.9,-29197.1,2915.24
-9.52828,1.24242,-8.28586,29988.2,-25871.5,6430.46
-9.67278,1.45489,-8.21789,29736.2,-31810.5,226.176
-9.60903,1.3326,-8.27643,30532.8,-27876.2,4957.13
-9.657,1.26761,-8.38939,30214.9,-28239.6,4307.8
-9.52135,1.25189,-8.26946,30331,-26438.5,6199.18
-9.64462,1.26668,-8.37794,29751.4,-28193.9,3862.67
-9.52464,1.22843,-8.29622,29254.4,-28484.7,3095.5
-9.56371,1.28893,-8.27477,29574.9,-29222.2,2628.5
-9.55416,1.34623,-8.20794,28729.4,-28971.7,2062.57
-9.55622,1.22627,-8.32995,28928.8,-27260.2,3979.9
-9.57069,1.27367,-8.29702,28820.5,-28273.6,2868.49
-9.56081,1.28044,-8.28038,30209.5,-28635.7,3870.32
-9.54713,1.26097,-8.28617,29599,-28322.2,3577.12
-9.46571,1.19216,-8.27355,28139,-27399.4,3037.41
-9.42955,1.26724,-8.16231,28567.3,-26794,4071.91
-9.44122,1.19601,-8.24521,29419.3,-25395.6,6372.58
-9.52887,1.2616,-8.26726,28192.3,-29243.4,1265.36
-9.54013,1.28539,-8.25475,29354.8,-27517.5,4160.46
-9.47806,1.31324,-8.16482,28958.9,-29696.3,1566.96
-9.60296,1.3419,-8.26106,29348.7,-31507.9,106.597
-9.41513,1.23531,-8.17982,28901.6,-27939.3,3275.78
-9.44592,1.23891,-8.20701,28965.9,-27227.3,4004.87
-9.52376,1.27213,-8.25163,29738.4,-28204.8,3872
-9.62875,1.27633,-8.35242,28498.9,-30643.2,159.077
-9.57082,1.28632,-8.28451,30315.4,-28503.1,4162.14
-9.58445,1.30326,-8.28119,29177,-25631.5,5885.78
-9.60365,1.2921,-8.31155,29885,-29723.8,2406.54
-9.79867,1.41661,-8.38206,30006.6,-32805.3,-491.449
-9.54718,1.25971,-8.28747,30854,-27604,5564.22
-9.5392,1.28518,-8.25401,30845,-29687.5,3505.84
-9.48798,1.21833,-8.26964,29794.2,-25080.8,7042.16
-9.58738,1.33005,-8.25732,29323.6,-30537,1095.86
-9.45758,1.2001,-8.25748,30000.7,-26653.7,5636.4
-9.54084,1.27333,-8.2675,29073.8,-29058.6,2334.01
-9.50914,1.26594,-8.2432,29887.3,-25730.3,6440.23
-9.63814,1.33204,-8.3061,29670,-31522.5,407.214
-9.53977,1.26693,-8.27284,29457.2,-26904,4807
-9.663,1.33512,-8.32788,29930.9,-29537.8,2713.45
-9.67375,1.29785,-8.37591,30028.4,-28525,3773.64
-9.66339,1.32333,-8.34005,30331.2,-30067.2,2535.76
-9.59167,1.28504,-8.30662,29602.1,-29024.1,2846.35
-9.62975,1.35666,-8.27309,29438.7,-25848,5830.56
-9.57266,1.25988,-8.31278,30437.5,-28247.6,4498.7
-9.62908,1.35386,-8.27522,31297.7,-28791.1,4783.81
-9.60722,1.31547,-8.29175,30777.6,-30314.7,2743.82
-9.4977,1.24222,-8.25548,30751.8,-29425.1,3605.44
-9.62503,1.36762,-8.2574,29674.1,-28759.1,3221.38
-9.53687,1.38487,-8.152,29914.7,-30879.6,1335.99
-9.58558,1.2607,-8.32488,30116.1,-26783.7,5673.8
-9.55129,1.27042,-8.28088,30377.7,-27983,4708.68
-9.6451,1.28665,-8.35845,30194,-29030.6,3492.95
-9.73153,1.33653,-8.39499,30819.6,-29940,3186.02
-9.64925,1.31618,-8.33307,30902.4,-28469,4697.38
-9.66997,1.28609,-8.38387,29941.2,-27879.4,4354.77
-9.60843,1.32931,-8.27911,30272.9,-29862.9,2718.19
-9.61636,1.3038,-8.31256,29912.6,-27844.4,4387.97
