dt,mean,stdev
0.5,107.667,5.23254
01,107.68,5.22513
03,107.911,5.16446
06,107.908,5.1643
09,107.904,5.16659
15,107.9,5.17798
30,107.835,5.5588
45,107.881,5.33254
90,107.895,5.36501
