# Angle (degree),  Occurrence
70.25000000,  0.000000000
70.75000000,  0.000000000
71.25000000,  0.000000000
71.75000000,  0.000000000
72.25000000,  0.000000000
72.75000000,  0.000000000
73.25000000,  0.000000000
73.75000000,  0.000000000
74.25000000,  0.000000000
74.75000000,  0.000000000
75.25000000,  0.000000000
75.75000000,  0.000000000
76.25000000,  0.000000000
76.75000000,  0.000000000
77.25000000,  0.000000000
77.75000000,  0.000000000
78.25000000,  0.000000000
78.75000000,  0.000000000
79.25000000,  0.000000000
79.75000000,  0.000000000
80.25000000,  0.001264290883
80.75000000,  0.004754995402
81.25000000,  0.003794609657
81.75000000,  0.002585324870
82.25000000,  0.000000000
82.75000000,  0.000000000
83.25000000,  0.01004663564
83.75000000,  0.01398253382
84.25000000,  0.01996521032
84.75000000,  0.03401338836
85.25000000,  0.04601892229
85.75000000,  0.05607591694
86.25000000,  0.1142372508
86.75000000,  0.1676660615
87.25000000,  0.2256885088
87.75000000,  0.3020669733
88.25000000,  0.5005072092
88.75000000,  0.6918805959
89.25000000,  0.9518346438
89.75000000,  1.333091226
90.25000000,  1.778797902
90.75000000,  2.440317513
91.25000000,  3.459844013
91.75000000,  4.550183685
92.25000000,  5.896927888
92.75000000,  7.707456843
93.25000000,  10.05057611
93.75000000,  13.23479334
94.25000000,  17.15307327
94.75000000,  21.53377478
95.25000000,  27.33701787
95.75000000,  34.17030096
96.25000000,  41.99220136
96.75000000,  51.14091614
97.25000000,  62.56966795
97.75000000,  75.15615202
98.25000000,  90.54446813
98.75000000,  106.2757673
99.25000000,  124.6168736
99.75000000,  145.6302805
100.2500000,  167.5554302
100.7500000,  190.3822724
101.2500000,  213.8470731
101.7500000,  239.4153825
102.2500000,  266.5881744
102.7500000,  293.5703931
103.2500000,  319.5119828
103.7500000,  345.2512791
104.2500000,  367.2453947
104.7500000,  391.9314117
105.2500000,  409.7105988
105.7500000,  425.1596123
106.2500000,  441.1682161
106.7500000,  449.6763531
107.2500000,  456.3426457
107.7500000,  457.7496943
108.2500000,  454.0456832
108.7500000,  448.9537001
109.2500000,  437.9576168
109.7500000,  423.4939116
110.2500000,  405.5356449
110.7500000,  385.6835337
111.2500000,  364.0414272
111.7500000,  338.0767178
112.2500000,  312.3024010
112.7500000,  286.9102990
113.2500000,  261.1365149
113.7500000,  235.0777009
114.2500000,  208.5526096
114.7500000,  184.2450434
115.2500000,  160.9050660
115.7500000,  138.6330968
116.2500000,  119.4062830
116.7500000,  102.1287120
117.2500000,  85.80058442
117.7500000,  71.48643995
118.2500000,  59.37886512
118.7500000,  48.56375296
119.2500000,  39.67142921
119.7500000,  31.70704083
120.2500000,  25.44691302
120.7500000,  20.13012964
121.2500000,  15.63234449
121.7500000,  12.24313048
122.2500000,  9.331289132
122.7500000,  6.940535347
123.2500000,  5.104077084
123.7500000,  3.937558408
124.2500000,  3.005320001
124.7500000,  2.274674344
125.2500000,  1.698992263
125.7500000,  1.199805601
126.2500000,  0.8630507580
126.7500000,  0.5571983870
127.2500000,  0.4046845001
127.7500000,  0.2570451295
128.2500000,  0.1875634428
128.7500000,  0.1194878034
129.2500000,  0.08135103119
129.7500000,  0.06599515849
