dt,Temp,rmse[Temp],Einter,rmse[Einter],Eintra,rmse[Eintra],Etotal,rmse[Etotal],Pinter,rmse[Pinter],Pintra,rmse[Pintra],Ptotal,rmse[Ptotal]
01,149.04789220761992,1.0764185173936512E-002,-9.7621411013762334,2.0562149968140590E-003,1.3880415257312206,3.7295947397274497E-004,-8.3740995632550206,1.8710930831990339E-003,30220.300185848977,20.810852814365504,-33674.710257091057,11.250685662722134,-1344.8611396273388,14.673615281489708
03,148.27577750670099,9.0042602584954994E-003,-9.5926464597451098,1.9253254409123360E-003,1.2379940004819174,2.8578752088821631E-004,-8.3546524914912457,1.8027513358718516E-003,29602.098972922347,17.757947586757862,-27989.427191951952,9.0445734911101709,3711.2927277463859,12.583301120036728
06,148.30424887804560,8.8818958367451895E-003,-9.5994116779614771,1.8733039835756810E-003,1.2398474576066829,2.8865776569658751E-004,-8.3595641992710981,1.7237949427861188E-003,29658.900304207626,18.051438868398950,-28028.384672148473,9.3981782717442854,3729.5391668702860,14.471843058801175
09,148.48716324809433,9.0106492298797133E-003,-9.6073629215986394,2.3147863433950872E-003,1.2465009674407408,3.1509278094007199E-004,-8.3608619788560752,2.0985740795613022E-003,29659.327746152318,20.155855634275262,-28106.810611126159,10.271282416986896,3654.1297250190241,12.559437899657180
15,149.24554447155180,9.0563481766314374E-003,-9.6267710032829683,2.1423155599202275E-003,1.2701157901870377,3.0296611085299074E-004,-8.3566551850847404,2.0029134955642037E-003,29757.724408903523,19.075544800695663,-28136.012418300645,10.158118473977925,3734.0580596265540,13.411782559155615
30,152.33532363483008,8.9717211301594737E-003,-9.6564415442306402,1.8826271459949882E-003,1.3254796765157553,3.4680153770941117E-004,-8.3309618758471391,1.7332006481160125E-003,29930.060115659275,20.343961233393689,-28309.122893888849,9.3281265010223944,3777.0145710384563,13.172788363332140
45,152.94263976988663,9.1743623417213354E-003,-9.6344102385469839,1.7693347138773889E-003,1.3072801319237295,2.9995870256338970E-004,-8.3271300807204387,1.6954308066050795E-003,29921.110258727069,17.185379732380976,-28497.459950001492,9.2163882749939496,3588.3235409550598,12.772714930676495
90,162.73294126683140,1.0813773103038138E-002,-9.5707502126442083,2.1593231280427130E-003,1.2981127122677125,3.0081474939473897E-004,-8.2726374765820410,2.0007824259505535E-003,29515.710544863101,19.602899369814747,-28332.509626216313,9.3776228100612595,3486.4410000059620,12.562349634740476
