#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
1,-22919.69658940744,3007.8859589696362,-19911.8106304378,159.71969062910725,0
2,-22866.357363452553,3081.017699240921,-19785.33966421163,163.60300904298057,144
3,-22922.07486313244,3036.992709038531,-19885.082154093907,161.26526821404173,145
4,-22777.194104151597,3041.3852028136043,-19735.808901337994,161.4985110152699,123
5,-22643.615605221145,3027.467633201284,-19616.147972019862,160.75948369072654,128
6,-22575.345931945893,3043.9828850416407,-19531.36304690425,161.63644875874635,131
7,-22549.49687956975,3049.0770590847937,-19500.419820484956,161.9069510029411,133
8,-22549.643796411896,3078.011038696799,-19471.632757715095,163.44335442226534,126
9,-22588.850636577234,3038.936802326035,-19549.913834251198,161.36850017917268,128
10,-22822.592483348548,3083.1604337544973,-19739.432049594052,163.71678891970367,130
11,-22687.77611430915,3046.7126152165592,-19641.06349909259,161.78139828974125,132
12,-22700.602506276235,3026.025827719945,-19674.57667855629,160.6829233661105,127
13,-23071.490271836243,3102.5596901247122,-19968.93058171153,164.74689553549666,129
14,-22740.927188923728,3020.5965577605084,-19720.33063116322,160.39462742334803,130
15,-22690.646285721392,3045.4436572396976,-19645.202628481693,161.71401622198658,131
16,-22417.62271975234,3025.081397594432,-19392.541322157907,160.63277382935095,128
17,-22587.828774241163,3084.1527629564025,-19503.676011284762,163.7694819124875,129
18,-22609.03689896733,3072.8749564244104,-19536.16194254292,163.17062683791488,130
19,-22853.089091396105,3068.5403293524023,-19784.5487620437,162.9404567768229,131
20,-22750.89447782676,3079.6402224253443,-19671.254255401418,163.52986459075274,128
21,-22803.046280849332,3089.161790756555,-19713.884490092776,164.035462864394,129
22,-22658.475063347854,3015.907151346186,-19642.56791200167,160.1456184675742,130
23,-22499.943164873825,3094.349760175043,-19405.593404698782,164.31094567252478,131
24,-22534.5401203036,3103.273481693807,-19431.266638609795,164.78479809235705,125
25,-22694.94352677092,3001.081476231366,-19693.862050539552,159.3583704551802,126
