#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
30,-23096.25241824954,2760.583655557176,-20335.668762692363,146.58786052261132,0
60,-23014.48604182378,2766.0996637209855,-20248.386378102794,146.88076229131173,97.1
90,-22877.17189564943,2783.8460995202804,-20093.32579612915,147.82310361485168,106
120,-23088.466777616937,2778.2611197597657,-20310.205657857172,147.52653943266947,99.9
150,-22972.46548690957,2754.300596011296,-20218.16489089827,146.2542280842273,103
180,-22976.158471748466,2753.3812890557783,-20222.777182692687,146.20541259569768,102
210,-23071.653837024453,2761.8384270056777,-20309.815410018775,146.65448928124738,104
240,-23197.44049731629,2788.1947638181678,-20409.245733498123,148.0540190570536,103
270,-22909.126681130903,2740.9402207489666,-20168.186460381938,145.54478795494825,105
300,-23152.523653520766,2742.5722450756825,-20409.951408445082,145.63144896009203,107
330,-23314.188908173586,2736.3652503431267,-20577.82365783046,145.30185558722366,108
360,-23115.39754393896,2797.442602254355,-20317.954941684606,148.54508218716035,107
390,-23278.12754124707,2791.548793706296,-20486.578747540774,148.2321190992095,106
420,-23128.62457425805,2815.7606801660413,-20312.86389409201,149.517777886693,107
450,-23039.317029855418,2826.819342940098,-20212.497686915318,150.10499635878196,108
480,-23072.569221314567,2774.074075471527,-20298.49514584304,147.30420606382162,108
510,-23154.333286512934,2796.203570205279,-20358.129716307656,148.47928919558507,109
540,-23154.776708438527,2813.335717177416,-20341.44099126111,149.3890115891626,110
570,-22961.47413600341,2795.88955095273,-20165.58458505068,148.46261467449187,112
600,-22970.55477448729,2730.857676911821,-20239.697097575467,145.00940170547256,111
630,-23075.187100099152,2820.138452630992,-20255.04864746816,149.75023898172273,112
660,-23158.313367977826,2773.170116423782,-20385.143251554044,147.2562055540228,113
690,-23241.745858050213,2796.166474878546,-20445.579383171666,148.47731942206624,114
720,-23080.699748032654,2739.2996179385,-20341.400130094153,145.4576714296187,111
750,-23174.544878393135,2757.926233966523,-20416.618644426613,146.4467506001874,112
780,-22690.338132232835,2740.8309018590007,-19949.507230373834,145.538983087502,113
810,-22972.112470824184,2748.9725295419216,-20223.13994128226,145.9713060786233,114
840,-23114.797713763808,2766.4476008637794,-20348.35011290003,146.89923786304666,113
870,-22888.639788287634,2791.6647173726114,-20096.97507091502,148.23827468235763,113
900,-23189.898936927784,2805.555317574479,-20384.343619353305,148.97586992272204,114
930,-23129.726703111082,2790.542441513573,-20339.18426159751,148.17868148120198,115
960,-22814.753933260872,2793.91980080808,-20020.834132452794,148.35802032217543,115
990,-23184.461420109263,2769.7466931078125,-20414.71472700145,147.07442069901904,115
1020,-22992.571718691674,2789.854116864484,-20202.71760182719,148.14213122580514,116
1050,-23101.472653545003,2759.8226958155046,-20341.649957729496,146.54745332094916,115
1080,-22950.54679659735,2803.3056971647457,-20147.241099432606,148.85641437128928,115
1110,-23087.176120845194,2713.3191134523786,-20373.857007392813,144.07809846857037,116
1140,-23155.44181766441,2773.058191974,-20382.38362569041,147.25026233053066,117
1170,-22950.822167319668,2810.503252307921,-20140.318915011747,149.2386068135678,117
1200,-22720.296082823275,2774.665471403491,-19945.630611419783,147.33560937384772,117
1230,-22879.725775342828,2741.072524577197,-20138.65325076563,145.55181332984685,117
1260,-22922.49979106833,2821.7189174121577,-20100.78087365617,149.83416215877844,118
1290,-22879.64119390768,2707.0468115204067,-20172.594382387273,143.74503726286892,118
1320,-22904.06002128996,2796.6711415635955,-20107.388879726364,148.50411738179827,118
1350,-22837.029574987057,2753.5507209369052,-20083.47885405015,146.21440948188467,118
