dt,mean,stdev
0.5,103.119,2.50517
01,103.089,2.45709
03,103.116,2.42879
06,103.118,2.4293
09,103.118,2.43131
15,103.119,2.43519
24,103.123,2.44346
27,103.118,2.5587
30,103.086,2.71301
33,103.039,2.83607
36,103.118,2.44597
45,103.116,2.44739
90,103.11,2.45564
