dt,Temp,rmse[Temp],PotEng,rmse[PotEng],Press,rmse[Press],MolPress,rmse[MolPress],Virial,rmse[Virial],NBVirial,rmse[NBVirial],MolVirial,rmse[MolVirial]
0.5,298.26500978811032,0.11024830801651153,-21889.841892397311,5.0302016017696562,427.30284557287882,8.0126261824609415,459.10675968686826,6.0715284494725221,-10251.030408509700,21.977235034988500,82388.293371519918,34.736165747573516,-2548.4328038591179,16.653142767068925
01,
03,
06,
09,
15,
24,
27,
30,
33,
36,
45,
90,
