dt,mean,stdev
0.5,107.667,5.23254
01,107.685,5.21481
03,107.675,5.23045
06,107.672,5.23136
09,107.669,5.23205
15,107.667,5.26262
30,106.881,6.01427
45,107.662,5.3256
90,107.688,5.3139
