dt,mean,stdev
0.5,107.667,5.23254
01,107.666,5.22724
03,107.667,5.28172
06,107.665,5.27616
09,107.667,5.28193
15,107.641,5.694
24,105.523,7.19306
27,107.746,5.37536
30,107.657,5.3986
33,107.655,5.44973
36,107.652,5.5218
45,107.677,5.36637
90,107.642,5.49915
