dt,mean,stdev
0.5,103.119,2.50517
01,103.12,2.46701
03,103.113,2.31965
06,103.113,2.31777
09,103.113,2.32449
15,103.137,2.3723
24,102.69,3.04923
27,103.117,2.38776
30,103.128,2.32867
33,103.088,2.39721
36,103.112,2.42241
45,103.102,2.41041
90,103.119,2.42218
