Einter,Eintra,Etotal,Pinter,Pintra,Ptotal
-9.53917,1.24323,-8.29594,29316.8,-26453.3,4963.08
-9.5264,1.21446,-8.31193,29365.5,-27515.2,3962.21
-9.59533,1.16859,-8.42674,29210.2,-29086,2184.03
-9.62217,1.24449,-8.37768,29043.3,-28088.9,3059.3
-9.49193,1.2003,-8.29162,29796,-26920.5,4950.96
-9.59962,1.21904,-8.38057,28375.3,-27343.6,3154.43
-9.6959,1.33268,-8.36322,29014.7,-30288.8,832.302
-9.56145,1.2335,-8.32795,30088.2,-26955.3,5215.14
-9.58404,1.24121,-8.34284,30360.5,-28353.5,4111.61
-9.56575,1.2078,-8.35795,30988.5,-27430.7,5624.67
-9.47305,1.21786,-8.25519,29786.1,-26047.1,5818.23
-9.55501,1.20563,-8.34938,29190.7,-28438.4,2855.94
-9.6753,1.37294,-8.30236,30157.8,-30806.4,1474.75
-9.44974,1.20121,-8.24853,29978.2,-28518.5,3595.97
-9.4346,1.2035,-8.23111,29772.5,-27105.3,4752.12
-9.57983,1.26056,-8.31927,29562.7,-26474.7,5206.85
-9.527,1.25288,-8.27412,29359.2,-26106.2,5382.44
-9.62161,1.26286,-8.35875,29111.8,-28605.5,2583.92
-9.61557,1.27225,-8.34332,29184.3,-27667.9,3607.79
-9.38444,1.13225,-8.25218,30209.3,-24954,7342
-9.48953,1.22201,-8.26753,28792.8,-26800.7,4106.77
-9.49096,1.19671,-8.29426,30176.8,-27646.5,4584.42
-9.61016,1.3182,-8.29196,29545.3,-30463.9,1166.34
-9.50858,1.13239,-8.37618,28060.4,-25000.3,5137.87
-9.54625,1.25656,-8.28969,28149.3,-26147.2,4078.11
-9.65059,1.20948,-8.44111,29609.7,-27352.2,4376.72
-9.5918,1.28953,-8.30227,30010,-27786.8,4307.57
-9.65383,1.25852,-8.39531,28677.6,-26268.8,4499.49
-9.59427,1.27159,-8.32268,29008.6,-28046,3062.14
-9.56289,1.22554,-8.33735,29173.3,-27129.8,4163.78
-9.48285,1.22863,-8.25422,29013.1,-27941.6,3172.64
-9.53354,1.24885,-8.28469,29315.6,-27828.1,3602.41
-9.54197,1.19568,-8.34629,28252.1,-26524.6,3872.08
-9.55508,1.22524,-8.32984,30035.3,-28163.6,4007.24
-9.56942,1.26116,-8.30826,30322.5,-29383.6,3009.31
-9.55714,1.21543,-8.34171,27997.2,-26684.4,3420.62
-9.61039,1.25283,-8.35756,28815.9,-31552.1,-649.677
-9.62304,1.2711,-8.35194,29055.4,-28590.1,2571.22
-9.5946,1.29082,-8.30377,29187,-28236.4,3052.9
-9.57105,1.18437,-8.38668,29374.8,-28634.4,2868.34
-9.61381,1.25639,-8.35742,30005.2,-28228.9,3814.71
-9.59704,1.25747,-8.33957,29334.1,-29228.3,2216.69
-9.60042,1.22345,-8.37697,29675.1,-28507.9,3259.36
-9.59055,1.30645,-8.2841,29078.9,-28123.8,3049.68
-9.69034,1.22782,-8.46252,29889.9,-29571.9,2414.69
-9.70268,1.33507,-8.36761,30405.8,-29028.6,3454.2
-9.58531,1.20946,-8.37585,30261.4,-27602.1,4772.68
-9.60777,1.22971,-8.37806,29438.7,-26541.6,4968.85
-9.61388,1.2733,-8.34058,29953,-28269.8,3762.5
-9.64364,1.25587,-8.38777,30169.5,-30927.5,1340.85
-9.60707,1.20968,-8.39739,30275.7,-27248.8,5136.94
-9.58579,1.2088,-8.377,29719.5,-27428.6,4392.39
-9.56586,1.28066,-8.2852,30847.2,-29398.9,3524.16
-9.64139,1.25864,-8.38275,30175.7,-31073.3,1177.01
-9.53155,1.21181,-8.31974,29848.9,-26900.9,5071.97
-9.60596,1.26612,-8.33983,30060,-28823.5,3332.06
-9.55339,1.18124,-8.37216,29215.1,-25336.3,6005.93
-9.62848,1.25153,-8.37695,30243.9,-29092.5,3289.92
-9.55682,1.26929,-8.28753,31119.9,-29769.6,3447.32
-9.57952,1.18778,-8.39174,30102.6,-25488.3,6723.62
-9.53654,1.22859,-8.30795,30579.9,-28569.6,4111.66
