#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
6,-23249.918644651916,2763.9059031284833,-20486.01274152343,146.7642729137461,0
12,-23073.51603408737,2781.164867628731,-20292.35116645864,147.68072935796002,101
18,-22932.731181487674,2831.638901253317,-20101.092280234356,150.3609164213298,100
24,-22950.292254867047,2769.480532986138,-20180.81172188091,147.06028751283063,74.2
30,-22965.29801473883,2787.204114308685,-20178.093900430144,148.0014152564658,82.6
36,-22838.85967705387,2808.3536545107227,-20030.506022543148,149.12446249432534,87
42,-22800.60371069974,2755.972357273462,-20044.631353426277,146.34299913314376,89.9
48,-23048.51355137452,2735.7520297797464,-20312.761521594774,145.26929338240384,88.3
54,-22913.23211582309,2763.587816310005,-20149.644299513086,146.74738240362254,91.7
60,-22953.10518112633,2813.8799028571307,-20139.2252782692,149.41790801994304,94.4
66,-22734.551192078827,2798.5951236528954,-19935.95606842593,148.60628143597808,96.7
72,-22748.983598031657,2816.2382332128227,-19932.745364818835,149.5431361037037,95.4
78,-22772.62482883205,2768.512645738465,-20004.112183093584,147.0088923955054,97.2
84,-22901.508761753852,2839.7053913578698,-20061.80337039598,150.7892495834033,97.4
90,-22903.736189313146,2698.5868391391155,-20205.14935017403,143.29581006812066,97.5
96,-23129.022450953707,2810.3661780383036,-20318.656272915403,149.2313281267309,92.7
102,-22812.416571609996,2804.1291713246437,-20008.287400285353,148.9001411082248,92.9
108,-22985.338940692454,2803.290853955684,-20182.04808673677,148.85562619221878,94.4
114,-22829.594453031896,2783.4553661685636,-20046.13908686333,147.8023555509603,95.1
120,-22948.371368448323,2784.658651577116,-20163.712716871207,147.8662503846788,94.1
126,-22964.402586260534,2729.193416242364,-20235.20917001817,144.92102894038845,95.4
132,-22847.523657954225,2770.1267873859797,-20077.396870568246,147.09460382475814,96.6
138,-22830.664057074842,2806.376486966945,-20024.287570107896,149.01947427578187,97.6
144,-22994.701920608582,2778.6975799364277,-20216.004340672156,147.54971560534997,95.6
150,-22988.081790709766,2793.0802906983236,-20195.001500011444,148.31344207125792,96.6
156,-23075.424744955875,2838.854601204759,-20236.570143751116,150.7440723586352,97.5
162,-22775.985051467927,2742.4495746963685,-20033.535476771558,145.62493512436134,97.1
168,-22873.79990519976,2796.8300476846116,-20076.96985751515,148.5125553468122,95.8
174,-22822.484103767332,2814.1597767761828,-20008.32432699115,149.43276941308622,95.3
180,-23011.37657129331,2791.7338282403057,-20219.642743053002,148.2419444911728,95.8
186,-22874.29534906635,2748.3535493931968,-20125.941799673154,145.93843803800988,96.6
192,-23060.914657986286,2805.963782950281,-20254.950875036004,148.99755956267038,95.6
198,-22968.688253212138,2783.044783710683,-20185.643469501454,147.78055349328758,96.3
204,-22796.729242854883,2851.976101553627,-19944.753141301255,151.44082815486522,97.1
210,-23058.474993809476,2834.7690431374504,-20223.705950672025,150.52712794004387,97.7
216,-22833.751387562108,2784.613820972427,-20049.13756658968,147.8638698654672,97.5
222,-22859.152505915306,2814.697580910144,-20044.454925005164,149.4613269817797,98
228,-22848.55572669659,2760.3989360863247,-20088.15679061027,146.57805186060088,98.5
234,-22736.89285057978,2714.375689549831,-20022.51716102995,144.13420299171824,99
240,-22681.966193603963,2807.769081773934,-19874.197111830028,149.09342149810948,97.9
246,-22657.395204523316,2826.381535048753,-19831.013669474563,150.08174862202785,97.7
252,-22723.218327295937,2813.148808402466,-19910.06951889347,149.37908667441576,96.9
258,-22889.87327995739,2820.5495015770557,-20069.323778380334,149.77206581006473,97.2
264,-22792.894041581603,2823.6480664478004,-19969.245975133803,149.93660057943444,96.9
270,-23098.8028546673,2791.257844275903,-20307.545010391397,148.21666959293,97.1
276,-22892.809390276845,2779.4935292962577,-20113.315860980587,147.59198076674326,97.5
282,-22813.498698048672,2736.080507382856,-20077.418190665816,145.28673564646004,97.9
288,-22727.231677873366,2768.690099384635,-19958.54157848873,147.01831523993962,97.7
294,-23133.281733710435,2802.5106156885386,-20330.771118021898,148.81419529478939,98.2
300,-23081.72301563411,2768.733056620431,-20312.989959013677,147.0205962826737,98.6
306,-23027.597423667074,2802.4375914047932,-20225.15983226228,148.8103176823508,98.9
312,-22961.05544305392,2774.7171828146647,-20186.338260239256,147.33835526604815,98.5
318,-22862.656750347393,2769.2915483524503,-20093.365201994944,147.05025236933184,98.5
324,-23121.878190669668,2757.1708831479436,-20364.707307521723,146.40664123410585,98.2
330,-23119.102727590973,2811.142909571,-20307.959818019972,149.27257281545792,97.9
336,-22964.5567325484,2768.5680243040188,-20195.988708244382,147.01183301475703,97.5
342,-22830.566561323503,2815.230692767149,-20015.335868556354,149.48963538909067,97.7
348,-22857.071175752586,2765.856802285143,-20091.214373467443,146.8678662726702,97.9
354,-22945.349530966094,2804.6060243135485,-20140.743506652547,148.92546215194204,98.2
360,-23025.93865391586,2777.6779295131373,-20248.26072440272,147.49557184711603,98
366,-22789.43836179204,2790.9574977158063,-19998.480864076235,148.20072109610717,98.4
