Einter,Eintra,Etotal,Pinter,Pintra,Ptotal
-9.62246,1.23138,-8.39109,32418.3,-26061.9,8484.88
-9.71259,1.38119,-8.33141,32040.6,-28415.9,5829.21
-9.69873,1.3644,-8.33433,31699,-29284.6,4565.5
-9.72154,1.31863,-8.40291,31141,-29540.9,3771.02
-9.85681,1.42395,-8.43286,30544.1,-30315,2368.43
-9.71475,1.41485,-8.2999,30161.4,-30434.8,1859.38
-9.71561,1.39452,-8.32109,30394.2,-30656.9,1873
-9.63768,1.27004,-8.36764,30607.3,-27648.5,5091.27
-9.69379,1.33157,-8.36222,29464.6,-25108.1,6502.53
-9.73334,1.37117,-8.36217,29815.6,-27926,4053.34
-9.73805,1.36762,-8.37043,30440.1,-29362.8,3232.8
-9.67774,1.37904,-8.29871,30684.7,-28250.2,4560.14
-9.63912,1.37181,-8.26731,30594.1,-28026,4725.27
-9.76829,1.38274,-8.38554,30764.1,-30574.5,2324.18
-9.71679,1.32071,-8.39609,30072.5,-29171,3055.77
-9.79783,1.39002,-8.40781,29948.7,-31294.2,754.043
-9.70063,1.39001,-8.31062,31349.6,-28859.1,4662.98
-9.65953,1.28475,-8.37478,31145.3,-28951.9,4320.74
-9.57933,1.31694,-8.26239,30629.6,-29422.6,3368.69
-9.62122,1.28544,-8.33577,30778.9,-27418.3,5519.56
-9.73464,1.36715,-8.3675,31325.1,-31502.8,1976.45
-9.65409,1.33302,-8.32107,30439.1,-29640.3,2947.35
-9.61148,1.29717,-8.31431,29328.6,-27073.1,4415.29
-9.67892,1.30383,-8.37509,29762.8,-26823.2,5084.21
-9.67095,1.30546,-8.36549,30823.6,-30079.3,2877.13
-9.62779,1.31712,-8.31067,31104,-27836.4,5433.27
-9.64134,1.28559,-8.35575,29445.4,-26860.8,4770.01
-9.67408,1.38004,-8.29404,29466.5,-28408.6,3208.65
-9.64292,1.3398,-8.30312,31144.9,-26945,6393.8
-9.6568,1.32232,-8.33448,31811.1,-28486.7,5497.53
-9.75544,1.35582,-8.39962,31850.6,-29616.6,4403
-9.77887,1.33903,-8.43985,31199.3,-28899.5,4482.83
-9.74695,1.30223,-8.44472,30782.2,-29889,3007.57
-9.74838,1.32148,-8.42689,30301.7,-28086.6,4379.14
-9.67729,1.31175,-8.36554,30604.7,-29273.6,3516.81
-9.75894,1.31986,-8.43908,29956.4,-29233.9,2857.41
-9.6927,1.35537,-8.33733,29561.5,-28435.2,3335.29
-9.58865,1.22729,-8.36136,30953.2,-26558.6,6587.35
-9.72649,1.32689,-8.3996,31583.6,-28690.8,5056.32
-9.64188,1.26063,-8.38124,31729.2,-27607.6,6291.34
-9.74584,1.3862,-8.35964,30893,-29845.5,3228.26
-9.76439,1.38076,-8.38363,31592.1,-29420.4,4306.13
-9.84097,1.34205,-8.49892,32138.9,-30996.8,3272.48
-9.81815,1.36298,-8.45518,31890.6,-30249.6,3769.88
-9.68561,1.36027,-8.32534,31690.5,-29050.7,4813.54
-9.72327,1.34854,-8.37473,30389.5,-28399,4174.86
-9.62234,1.2941,-8.32824,29824.4,-28443.9,3507
-9.73199,1.36396,-8.36803,29556,-29032.8,2679.12
-9.67575,1.34696,-8.32879,30649.1,-28333.2,4503.44
-9.76574,1.36917,-8.39657,30568.6,-30079.7,2652.21
-9.69002,1.35067,-8.33935,31576.5,-29477.6,4199.39
-9.60633,1.33528,-8.27106,31107,-27443.3,5848.41
-9.72295,1.34132,-8.38163,31009.2,-31239.6,1940.21
-9.72121,1.31939,-8.40183,30496.7,-28833,3855.28
-9.62288,1.2943,-8.32858,31109.6,-28047.9,5236
-9.62323,1.30769,-8.31554,30581,-30444,2289.47
-9.7136,1.34471,-8.36889,29800.8,-28840.7,3157.76
-9.73219,1.38304,-8.34915,29769.2,-31129,813.745
-9.71453,1.39096,-8.32357,29530.6,-27733.1,3984.36
-9.5969,1.39091,-8.20599,29080.8,-27989.8,3220.92
-9.68407,1.35652,-8.32755,28837.7,-28934.2,2069.06
-9.65665,1.34647,-8.31018,29028.3,-29038.2,2218.87
-9.64999,1.34122,-8.30877,29330.4,-27217.2,4259.68
-9.64642,1.30378,-8.34264,29394.6,-27827.4,3746.38
-9.58767,1.32258,-8.26509,29390.6,-28869.8,2662.65
-9.61904,1.33452,-8.28452,29598.4,-27289.6,4480.81
-9.60079,1.31464,-8.28615,30462.2,-29489.2,3094.51
-9.61005,1.22076,-8.38929,29956.8,-27971.3,4124.32
-9.53119,1.29927,-8.23192,29522.8,-28272.8,3392.73
-9.62593,1.31794,-8.30799,28561.1,-29837.4,883.215
-9.47881,1.28672,-8.19209,28941.6,-25899.9,5194.26
-9.52875,1.29295,-8.2358,28915.7,-26106,4951.99
-9.50542,1.32067,-8.18475,28762.3,-27090.4,3816.59
-9.54893,1.32531,-8.22362,28653.9,-27107.8,3728.1
-9.41679,1.16341,-8.25338,29235.9,-25958.4,5459.53
-9.57039,1.28263,-8.28776,29920.1,-28149.1,3925.03
-9.63307,1.29576,-8.3373,29771.1,-28803.2,3121.04
-9.6317,1.40476,-8.22694,28633.5,-30266.6,490.972
-9.63473,1.42186,-8.21286,29451.7,-30527.2,1075.31
-9.59424,1.36828,-8.22596,30596.7,-26785.1,5958.4
-9.596,1.3236,-8.2724,29214.5,-26138.6,5246.32
-9.61831,1.32164,-8.29667,29733.2,-30255.5,1648.14
-9.68623,1.39983,-8.28641,29863.4,-29701.2,2286.03
-9.67085,1.38472,-8.28613,28977.9,-28540.2,2581.06
-9.59628,1.31232,-8.28397,29373.1,-27857.8,3646.55
-9.59705,1.33577,-8.26127,28488.2,-26133.1,4524.55
-9.63916,1.29929,-8.33987,28618.2,-29255.2,1485.22
-9.53786,1.25247,-8.28539,28903.1,-24538,6529
-9.61165,1.28272,-8.32893,29148.4,-29376.6,1931.63
-9.6078,1.30586,-8.30194,29012.5,-27715.2,3450.84
-9.69655,1.34489,-8.35166,29329.5,-28008.7,3482.54
-9.64407,1.31801,-8.32606,30193.3,-27574.9,4761.63
-9.73985,1.36469,-8.37515,30471.7,-29818.1,2804.91
-9.77327,1.34154,-8.43173,29707.4,-27981.9,3881.57
-9.82234,1.3845,-8.43784,30245.4,-30921.4,1453.13
-9.70192,1.3439,-8.35803,30394.6,-28354.9,4249.57
-9.64621,1.32679,-8.31942,30374.3,-28991.9,3535.52
-9.54756,1.24273,-8.30484,30061.7,-27678.8,4585.99
-9.65509,1.29453,-8.36056,30366.5,-29545.4,2941.68
-9.63589,1.32051,-8.31539,29604.9,-26584.2,5152.27
-9.66073,1.3409,-8.31983,29427.2,-28482.9,3089.34
-9.65351,1.36783,-8.28569,31300.5,-29860.6,3582.22
-9.75805,1.36755,-8.3905,30842.2,-28094.1,4883.76
-9.66153,1.26554,-8.39599,29883.1,-26430.9,5591.46
-9.70262,1.3643,-8.33833,30015.9,-28738.9,3418.84
-9.80031,1.34076,-8.45955,29902,-29054.7,2982.14
-9.71187,1.33959,-8.37228,30495.2,-28338.5,4308.59
-9.6713,1.31298,-8.35831,29785.9,-27636.5,4289.39
-9.7157,1.37406,-8.34164,30292.3,-30716.4,1757.52
-9.58452,1.38384,-8.20068,29907.2,-29929,2160.05
-9.63436,1.32455,-8.30982,28899.9,-27472,3553.48
-9.75968,1.3602,-8.39948,29670.4,-30206.8,1632.47
-9.66004,1.30335,-8.35669,30182.6,-28102.7,4291.92
-9.63528,1.24792,-8.38736,29898.8,-27517.1,4552.59
-9.68406,1.35224,-8.33182,30050.1,-28499.4,3735.81
-9.69553,1.33901,-8.35652,30153.1,-29283.3,3040.48
-9.66163,1.34183,-8.31979,29156.4,-28917.6,2424.03
-9.65262,1.2951,-8.35751,29808.8,-28090.7,3869.77
-9.63185,1.3336,-8.29825,29754.7,-27854.2,4049.29
-9.6845,1.29824,-8.38627,29205.6,-28176.2,3188.75
-9.6773,1.27508,-8.40222,30150.8,-27143.9,5170.82
-9.67732,1.35908,-8.31825,30975.3,-28768.9,4342.55
-9.66955,1.31914,-8.35041,29502,-28016.4,3635.92
-9.56807,1.23569,-8.33237,28869.1,-28122.4,2883.29
-9.63664,1.23562,-8.40102,29977.8,-28428.2,3740.49
-9.63551,1.3406,-8.29491,29713,-27488.7,4374.39
-9.66292,1.34222,-8.3207,30030.1,-29748.5,2428.34
-9.70328,1.42004,-8.28324,30153.8,-29230.9,3103.5
-9.65285,1.32912,-8.32374,30124.9,-27015.3,5276.72
-9.6685,1.32966,-8.33884,30555.5,-28996.1,3719.16
-9.6904,1.35156,-8.33884,29826.7,-29806,2149.02
-9.65669,1.37405,-8.28263,29555.8,-27373.3,4343.81
-9.71389,1.35625,-8.35764,29798.3,-28887.3,3058.89
-9.64012,1.26292,-8.3772,30042.2,-28218.1,3976.04
-9.73923,1.40038,-8.33885,30072.2,-29175.4,3045.77
-9.7642,1.35746,-8.40674,30014.4,-28396.9,3797.77
-9.83598,1.36525,-8.47073,30504.9,-29602.3,3043.65
-9.71536,1.36066,-8.35469,30408.7,-27564.6,5024.11
-9.75775,1.41319,-8.34456,30621.2,-28607.7,4152.34
-9.73909,1.37635,-8.36274,30186.3,-31601.8,771.879
-9.75045,1.3431,-8.40735,29895.2,-28643.9,3393.62
-9.73356,1.34091,-8.39265,30940,-27689.2,5420.98
-9.76147,1.3248,-8.43668,30225.7,-27915.5,4448.01
-9.67587,1.30161,-8.37427,31257.4,-25800.6,7617.75
-9.63265,1.25976,-8.37289,31315.8,-27997.6,5472.28
-9.64947,1.29542,-8.35406,30555.8,-24834.7,7869.53
-9.64608,1.25444,-8.39164,29535.5,-27510.4,4186.19
-9.64755,1.27515,-8.3724,29604.7,-27408.5,4351.71
-9.62474,1.26089,-8.36385,29996.9,-28649.4,3498.1
-9.68365,1.31255,-8.3711,29403.9,-27485.5,4109.94
-9.69826,1.33615,-8.36211,29524.3,-28801.8,2880.04
-9.78724,1.37747,-8.40976,29998.1,-31253.6,948.086
-9.66138,1.29787,-8.36351,29835.6,-28903.6,3108.29
-9.61778,1.3529,-8.26488,30731.9,-29868.3,3043.74
