Temp,Einter,Eintra,Etotal,Pinter,Pintra,Ptotal
148.623,-9.70268,1.34454,-8.35814,30246.5,-33114.8,-764.737
146.003,-9.73775,1.35932,-8.37843,29610.9,-33671.1,-1993.68
151.508,-9.75063,1.38007,-8.37055,29976.7,-33153.3,-1032.19
148.831,-9.69974,1.35829,-8.34145,31382.9,-34358.1,-868.735
147.635,-9.70609,1.36944,-8.33664,31152.6,-31478.3,1763.89
148.418,-9.79197,1.40675,-8.38522,32030.3,-35128.9,-997.942
150.671,-9.78463,1.35632,-8.42832,30900.9,-33170.5,-137.128
147.794,-9.78258,1.35777,-8.42481,30889.3,-32357.5,623.628
147.412,-9.69908,1.30151,-8.39757,29543.3,-31256.4,373.306
151.38,-9.80724,1.2813,-8.52595,30504.2,-32186.2,460.594
151.101,-9.89186,1.41236,-8.4795,31210.6,-33361.3,-12.1144
151.176,-9.85823,1.43665,-8.42157,30935.8,-35751,-2675.6
149.752,-9.81235,1.42799,-8.38436,30475.4,-34904.4,-2309.42
148.058,-9.80035,1.41322,-8.38714,30145.4,-34879.5,-2638.54
150.34,-9.80202,1.40069,-8.40133,29882.5,-30604.5,1405.8
149.448,-9.79096,1.40279,-8.38817,30550.2,-34738.7,-2073.32
150.22,-9.8199,1.42594,-8.39396,30487.3,-33850.7,-1237.23
147.84,-9.77848,1.41916,-8.35932,30250.5,-34236.7,-1893.77
148.779,-9.78441,1.41706,-8.36734,31044.7,-34508.6,-1358.18
149.406,-9.81826,1.35041,-8.46785,30403.4,-35670.9,-3152.93
145.457,-9.77869,1.33131,-8.44738,30289.9,-33048,-699.449
148.983,-9.76464,1.416,-8.34863,31320.1,-33150.6,278.185
148.28,-9.79595,1.44913,-8.34681,30036.2,-34143.7,-2008.75
149.895,-9.72032,1.41446,-8.30586,31345.5,-34634.7,-1167.7
149.624,-9.64213,1.36007,-8.28206,30975.9,-33517.8,-424.182
149.559,-9.79523,1.43126,-8.36398,30403.3,-34644.3,-2124.19
148.222,-9.74401,1.39968,-8.34433,30478.9,-34547.5,-1970.73
148.685,-9.69658,1.42117,-8.2754,30617.3,-34971.5,-2249.83
147.901,-9.63632,1.32181,-8.3145,30481,-31433.4,1140.94
148.781,-9.75927,1.36707,-8.3922,30768.3,-33403.5,-529.417
148.901,-9.75169,1.44511,-8.30658,31155.2,-35084.7,-1821.98
148.249,-9.72608,1.40624,-8.31985,31128.8,-35343.3,-2116.21
148.45,-9.76283,1.35602,-8.40681,30423.8,-33962.6,-1437.67
148.432,-9.8037,1.38686,-8.41684,29536.9,-32394.3,-756.51
148.55,-9.82501,1.37466,-8.45035,29368.7,-34124.3,-2653.13
150.099,-9.79608,1.39038,-8.4057,30399.3,-32774.4,-250.677
149.762,-9.78199,1.35455,-8.42744,29992.4,-35173,-3060.94
147.776,-9.76672,1.4131,-8.35361,31788.5,-34404.3,-524.267
145.62,-9.72192,1.3953,-8.32662,30206.8,-33482.7,-1214.83
150.357,-9.75581,1.40923,-8.34658,31619.7,-35028.4,-1280.63
151.159,-9.73457,1.36521,-8.36936,30688,-33687.7,-860.26
148.909,-9.71062,1.44278,-8.26784,31129,-33358.6,-122.019
148.989,-9.74444,1.42436,-8.32008,30333.9,-33072,-629.427
148.483,-9.66205,1.36287,-8.29918,29404.3,-33071.9,-1566.08
148.89,-9.65467,1.42293,-8.23174,29699.2,-33194.2,-1387.6
148.372,-9.71194,1.37441,-8.33753,28838.5,-34922.2,-3983.8
148.919,-9.68179,1.38656,-8.29523,30694.3,-34390.5,-1588.41
146.163,-9.72399,1.43026,-8.29373,29609.5,-36371.9,-4693.75
148.528,-9.72557,1.37707,-8.34851,28581.1,-32736,-2052.78
150.106,-9.68408,1.42139,-8.26268,28987.3,-33473.7,-2361.94
150.013,-9.61884,1.34245,-8.27639,29074.8,-32089.1,-891.012
147.142,-9.66085,1.30916,-8.35169,28379.2,-30632.9,-171.146
148.193,-9.66836,1.36073,-8.30763,29009.1,-32484.9,-1378.39
149.499,-9.76429,1.411,-8.35329,28798.4,-35517.3,-4602.98
152.874,-9.62638,1.30978,-8.3166,28657.3,-30974.4,-153.442
147.532,-9.7263,1.33708,-8.38922,28212.9,-34238.9,-3937.95
150.688,-9.72936,1.36668,-8.36268,29247.7,-33314.8,-1934.35
147.263,-9.73403,1.4144,-8.31963,29384.9,-34520.9,-3051.75
149.383,-9.66636,1.36634,-8.30002,30141.5,-32258,-2.14531
148.476,-9.75446,1.41988,-8.33457,29952.4,-32431.7,-377.894
150.191,-9.76999,1.38668,-8.38331,29121,-33391.5,-2144.86
149.806,-9.72304,1.37117,-8.35187,28956.4,-32752.9,-1676.18
149.024,-9.78385,1.30309,-8.48076,31000.6,-32651.5,458.255
149.349,-9.8137,1.37894,-8.43475,31067.6,-33548.5,-367.034
147.336,-9.7358,1.35555,-8.38024,32249.3,-34600.3,-265.707
148.687,-9.87907,1.46966,-8.40942,31657.3,-34891.7,-1129.88
148.649,-9.74931,1.37129,-8.37802,30956.2,-32653.2,406.974
149.177,-9.64235,1.35382,-8.28854,30774.5,-31106.3,1779.54
150.763,-9.67292,1.36011,-8.31281,30181.6,-29792.7,2522.73
150.116,-9.75693,1.47528,-8.28165,30204.7,-36804.2,-4474.82
150.051,-9.84571,1.43446,-8.41126,29893.4,-34243.8,-2226.66
148.107,-9.80813,1.4314,-8.37673,31663.1,-34434.1,-674.764
148.808,-9.77764,1.40876,-8.36887,30655.1,-34175.4,-1414.15
148.995,-9.81756,1.45374,-8.36383,30351,-35007.6,-2547.72
150.049,-9.7722,1.34722,-8.42498,30977,-32888.5,212.244
148.943,-9.71184,1.35462,-8.35722,31255.4,-32490.1,873.327
147.29,-9.72773,1.38715,-8.34058,30614.4,-32661.2,37.839
151.295,-9.72071,1.36944,-8.35127,30448,-34355.9,-1766.52
147.449,-9.72454,1.39707,-8.32748,31146.2,-32043.3,1189.81
147.866,-9.83825,1.4785,-8.35975,31037.8,-36383.9,-3253.24
147.826,-9.77993,1.4626,-8.31733,28427,-35967,-5447.8
150.233,-9.7414,1.42509,-8.31631,30687.9,-34519.3,-1705.12
148.54,-9.82075,1.43812,-8.38263,29903.6,-35577,-3571.04
147.848,-9.78355,1.39061,-8.39294,30181.9,-33343.1,-1068.63
150.55,-9.79055,1.39223,-8.39832,29711.4,-31286.3,555.888
149.671,-9.82856,1.38481,-8.44375,30018.6,-33744.5,-1607.58
149.316,-9.83225,1.462,-8.37025,30422.8,-35373.3,-2837.19
149.049,-9.8398,1.43668,-8.40311,30867.4,-34078.7,-1101.68
150.337,-9.79681,1.38211,-8.41471,30500.1,-32232.2,395.668
150.466,-9.85399,1.44558,-8.40841,31429.9,-34405.1,-845.644
148.757,-9.76638,1.42421,-8.34217,31039.3,-34847.3,-1702.5
147.717,-9.83167,1.43784,-8.39383,29757,-36776.8,-4929.06
150.055,-9.79763,1.42852,-8.3691,30671.2,-34604.5,-1809.53
147.04,-9.82953,1.40123,-8.4283,30114.3,-33755.3,-1559.91
148.281,-9.91474,1.50057,-8.41417,30311.3,-35799.7,-3389.79
150.026,-9.79042,1.41938,-8.37104,29709.8,-32492,-658.778
149.441,-9.80415,1.33623,-8.46791,30131.3,-31336.4,910.03
149.075,-9.76637,1.35861,-8.40776,30394.5,-32872.9,-368.471
151.598,-9.85883,1.38395,-8.47489,30238.6,-34025.8,-1641.58
150.031,-9.84798,1.37736,-8.47063,30785.2,-34710.7,-1802.07
149.295,-9.81119,1.32492,-8.48627,30925.7,-33366.1,-327.341
149.054,-9.75928,1.39888,-8.36041,30690.4,-33097,-296.929
147.346,-9.69913,1.30433,-8.39481,30336.4,-32468.5,-46.6808
149.147,-9.76402,1.34133,-8.42269,30912.7,-32955.3,68.4352
149.976,-9.7793,1.38927,-8.39003,30910.1,-33613.9,-581.09
148.556,-9.74454,1.35843,-8.3861,31381,-32355.9,1127.67
148.994,-9.7926,1.38709,-8.40551,29513.5,-34390.5,-2768.26
147.541,-9.76685,1.42876,-8.33809,30156.9,-37086.6,-4841.41
145.234,-9.74005,1.43846,-8.30159,30146.3,-35495.9,-3294.06
147.326,-9.79006,1.41101,-8.37905,31151,-34570.4,-1334.2
149.649,-9.79379,1.36713,-8.42666,29548.1,-32379.3,-713.118
148.779,-9.76437,1.41147,-8.3529,30769.5,-31254.5,1620.75
148.224,-9.71703,1.34249,-8.37454,31637,-35036.4,-1301.52
150.831,-9.78571,1.33642,-8.44928,30316.2,-33930.7,-1479.68
151.197,-9.82357,1.41168,-8.41189,30834.5,-34093.8,-1119.36
150.636,-9.66477,1.26703,-8.39775,30305.7,-30593.8,1843.88
147.843,-9.8345,1.43519,-8.39931,28962.6,-36438.6,-5383.5
149.228,-9.80972,1.35996,-8.44976,30538,-33735.1,-1084.98
149.912,-9.82994,1.42663,-8.40331,30724.7,-33486.3,-639.83
148.375,-9.7781,1.36309,-8.41501,31814.8,-33769,145.808
147.781,-9.76312,1.36177,-8.40135,31247.2,-31996.9,1341.91
149.689,-9.81165,1.39697,-8.41468,30935.3,-32619.9,434.027
147.789,-9.81188,1.3739,-8.43798,30161.3,-35033.8,-2780.71
146.633,-9.77154,1.39793,-8.37361,29856.4,-32703.4,-771.617
150.246,-9.80697,1.38741,-8.41956,29994.8,-33766.4,-1645.17
148.611,-9.75151,1.39989,-8.35162,30824.9,-34001.9,-1073.57
147.809,-9.85717,1.46966,-8.3875,30537.3,-34468.8,-1839.41
149.218,-9.85768,1.40371,-8.45397,30314.5,-34926.1,-2499.63
149.352,-9.74766,1.39504,-8.35261,29707.6,-33233.1,-1411.67
