#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
2,-22920.508593911625,2816.296210510419,-20104.212383401205,149.5462147164443,0
4,-22870.09068416478,2924.6873473116293,-19945.403336853153,155.3018181778059,102
6,-22869.175437405822,2879.796020665604,-19989.37941674022,152.9180746111816,107
8,-22653.67318113093,2832.591843096954,-19821.081338033975,150.4115179329993,84.8
10,-22773.07324985604,2825.1805226958672,-19947.89272716017,150.01797448828032,88.7
12,-22836.832970951204,2861.6733543789614,-19975.159616572244,151.95575533041054,92.8
14,-22749.273340660948,2820.5028717630694,-19928.770468897877,149.76958975227342,95.9
16,-22712.729894472228,2846.4663979539278,-19866.2634965183,151.14826116050236,93.4
18,-22745.126972032594,2897.2677443687226,-19847.859227663874,153.84582863599687,97.2
20,-22499.972491100445,2860.4749181551215,-19639.49757294532,151.89211798992574,100
22,-22725.709661900328,2897.227319198595,-19828.482342701733,153.84368204674632,103
24,-22588.244386340404,2884.8065752659422,-19703.437811074462,153.18413663665828,101
26,-22592.937321869977,2830.2323941293307,-19762.704927740648,150.28623045059317,103
28,-22622.59758444906,2918.25636687925,-19704.34121756981,154.96033109381642,105
30,-22539.231103126993,2873.929197685651,-19665.30190544134,152.60654446538618,105
32,-22474.613001019767,2870.925262872546,-19603.687738147222,152.44703458184546,103
34,-22517.539051313244,2873.196957222056,-19644.34209409119,152.56766226642424,102
36,-22695.47712987865,2881.1922916907533,-19814.284838187898,152.99221704184998,101
38,-22424.957674808553,2868.4472306274965,-19556.510444181054,152.31545029010456,102
40,-22716.104372454327,2862.367203326232,-19853.737169128093,151.99259892777863,101
42,-22665.128270420857,2846.7366918716225,-19818.391578549235,151.16261385255984,102
44,-22563.66049703333,2937.425924889859,-19626.23457214347,155.97824065445678,102
46,-22772.346251572948,2823.826738774267,-19948.51951279868,149.9460881361758,104
48,-22750.293077455077,2865.9471530127735,-19884.345924442303,152.18269538229913,101
50,-22669.59332542568,2857.851070158162,-19811.74225526752,151.75279083588836,102
