#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
15,-23245.826154166454,2739.491928270684,-20506.33422589577,145.46788316875384,0
30,-23115.17759734986,2774.0434361898238,-20341.134161160036,147.30257910832478,109
45,-23171.79245071835,2811.746677184955,-20360.045773533395,149.30463306568956,107
60,-23127.046660051157,2733.684860693736,-20393.361799357423,145.15952605365555,87.5
75,-23181.56648165977,2745.5415699938985,-20436.024911665874,145.78912104732677,92.2
90,-23182.91031565622,2789.0142878734096,-20393.89602778281,148.0975360421893,94.7
105,-22953.83751364256,2755.6423903704226,-20198.195123272137,146.32547778679282,96.3
120,-23165.16476079088,2770.447806931419,-20394.71695385946,147.11165006360594,95.9
135,-23050.968306151102,2739.900277796353,-20311.068028354748,145.4895666570237,98.2
150,-22855.741921746056,2799.7046680275134,-20056.037253718543,148.665198591306,99.7
165,-22935.266705046757,2776.461862671393,-20158.804842375364,147.4309983152743,101
180,-22968.250963847735,2759.4413977705317,-20208.8095660772,146.527206274814,101
195,-22903.365404795928,2802.6778867405437,-20100.687518055383,148.82307744027025,103
210,-22871.900127306493,2758.2529526345097,-20113.647174671984,146.4640994642353,104
225,-22800.471607146043,2732.331695795387,-20068.139911350656,145.08767257188043,106
240,-22728.791535050943,2750.338251818961,-19978.453283231982,146.04382636115713,106
255,-22819.517949546644,2824.9612612954156,-19994.55668825123,150.00633163894202,106
270,-22979.029397168022,2828.1791096615607,-20150.850287506462,150.1772003994412,106
285,-22888.78924502524,2793.1140985884886,-20095.67514643675,148.3152372808608,107
300,-23071.171337302454,2798.449741221285,-20272.72159608117,148.5985615831258,107
315,-22780.21970463278,2767.503406739703,-20012.716297893076,146.95530148718908,108
330,-22986.954992476007,2757.7610889927437,-20229.19390348326,146.43798135012915,108
345,-22896.033691234377,2778.3219643672883,-20117.711726867088,147.52977030046915,109
360,-22827.911915788573,2836.6206667971264,-19991.291248991445,150.62544973884846,107
375,-22976.350778983964,2842.105359859813,-20134.245419124152,150.91668866582825,108
390,-22841.838195929275,2802.9311788663686,-20038.907017062906,148.8365273318311,109
405,-22953.887725182576,2732.3809675119655,-20221.50675767061,145.09028891553044,109
420,-22780.791196738966,2809.6211582023193,-19971.170038536646,149.19176733907497,109
435,-22932.725561509083,2772.4211851657847,-20160.304376343298,147.21643706862758,109
450,-23059.427603509626,2771.226199059158,-20288.20140445047,147.1529829304521,110
465,-22950.239930757787,2773.9557596241984,-20176.28417113359,147.29792345510918,111
480,-22954.712241129164,2737.892243764447,-20216.819997364717,145.38293941825077,111
495,-23098.82226579447,2711.8756780877443,-20386.946587706727,144.00145159663862,111
510,-22927.125358128833,2754.2032958476457,-20172.922062281188,146.2490614149292,111
525,-23217.734147092924,2741.7671016722816,-20475.967045420643,145.5886955920929,112
