dt,mean,stdev
0.5,103.119,2.50517
01,103.089,2.45709
03,102.94,2.37761
06,102.941,2.38151
09,102.95,2.39518
15,102.943,2.45494
30,102.961,2.47983
45,102.977,2.49986
90,102.967,2.48598
