dt,Temp,rmse[Temp],Einter,rmse[Einter],Eintra,rmse[Eintra],Etotal,rmse[Etotal],Pinter,rmse[Pinter],Pintra,rmse[Pintra],Ptotal,rmse[Ptotal]
0.5,298.26500978811032,0.11024830801651153,-21889.841892397311,5.0302016017696562,427.30284557287882,8.0126261824609415,459.10675968686826,6.0715284494725221,-10251.030408509700,21.977235034988500,82388.293371519918,34.736165747573516,-2548.4328038591179,16.653142767068925
01,148.59104956876155,8.8246061605804123E-003,-24247.569608765549,7.5864152431471066,642.65989256746013,14.421005860132928,111.88350631092844,13.676191256097523,-9660.3436186277868,39.554301924484001,91677.406674639627,70.090315671282738,-3500.8055809343782,37.511405471107985
03,147.03175688265046,9.0970674310730474E-003,-24255.142579558960,7.3408082072006371,6354.0322392273538,14.592887197431915,185.15778128860751,14.130327889478366,6004.9538227569446,40.025742431245384,89913.456083592071,74.907769819505049,-3299.8270345087676,38.757022988078383
06,147.06088413594100,9.1269217411332811E-003,-24259.546757469951,9.2405327790000378,6300.8248910014645,14.499864440133948,162.58970523541470,11.733206795747783,5859.0153537805045,39.770597244862564,89873.127404705709,59.021082757966383,-3361.7273279224460,32.182138239359858
09,147.24657710999895,9.0933048759318999E-003,-24252.474163022915,6.6488087542242518,6183.9893767457224,14.556736726999796,148.67331241616554,12.530203338307800,5538.5559315186847,39.926588000822584,89897.141365290780,67.262758557783627,-3399.8975643547105,34.368160641884401
15,148.09695271853144,8.9894078370551002E-003,-24243.310459186585,7.7290578526054885,6403.6608498512223,15.392342984022161,184.46744082587398,12.873044547338335,6141.0764391505290,42.218510110890058,90280.211389539894,62.480408670795740,-3301.7205179008429,35.308514236194910
30,151.46411430063714,9.3085509410139131E-003,-24210.211278732062,8.6727373886377119,6319.8088656118116,18.055846686408998,231.01789401658823,15.634996022147163,5911.0850825322950,49.524035858746508,91030.924558582396,81.649039450377884,-3174.0407500618276,42.884065039996862
45,152.17598532561365,9.2350435887945514E-003,-24178.097650406176,8.1352995133687696,6075.2271769560939,17.949108873223675,302.33807339765599,16.915396272414615,5240.2402016606675,49.231272667992748,90974.502967952503,73.880479595346685,-2978.4219467752951,46.395979435876413
90,162.36574699783716,1.1591317546658842E-002,-24029.937316965941,8.3241884177715129,5763.4813675313044,15.712178205647863,162.75353585109389,13.752127387226867,4385.1758608457421,43.095762297385583,89634.393614674147,74.417729511848862,-3361.2779691398596,37.719685024337423
