Einter,Eintra,Etotal,Pinter,Pintra,Ptotal
-9.67408,1.24674,-8.42734,32331.9,-29871.5,4598.82
-9.63383,1.26189,-8.37194,31842.2,-28317.7,5723.46
-9.66542,1.32553,-8.33989,31483,-29205,4460.52
-9.61946,1.23708,-8.38238,30612.4,-28823.8,3991.28
-9.59659,1.30344,-8.29315,31017.7,-26060.2,7143.69
-9.61154,1.31833,-8.29321,29928,-28564.2,3508.65
-9.66741,1.33804,-8.32937,30516.4,-29346.9,3328.05
-9.71287,1.32631,-8.38655,30616.4,-30865.7,1909.7
-9.64973,1.31902,-8.33071,31272.3,-26805.9,6650.21
-9.52393,1.28463,-8.23931,31292.7,-27522.1,5908.69
-9.60035,1.28753,-8.31282,29888.5,-26345,5702.75
-9.63709,1.26593,-8.37116,30002.5,-27505.8,4684.85
-9.61212,1.36054,-8.25159,29945.8,-29498,2627.84
-9.5655,1.27462,-8.29088,29312.2,-29411.1,2059.55
-9.69026,1.35762,-8.33264,29279.8,-30778.5,712.116
-9.73807,1.33693,-8.40114,29563.6,-29135.3,2551.07
-9.57761,1.36282,-8.21479,31533.8,-27947.7,5735.76
-9.66151,1.33838,-8.32313,29859.1,-27609.1,4425.35
-9.60874,1.3262,-8.28254,30424.1,-28679.6,3916.09
-9.56895,1.32555,-8.24341,30071,-28943.5,3301.13
-9.66237,1.31257,-8.3498,29536,-27574.7,4090.62
-9.57355,1.32726,-8.24629,29750.5,-29009.8,2907.82
-9.66045,1.40431,-8.25614,29907.4,-28958.9,3120.42
-9.5453,1.21059,-8.33471,29885.8,-27261.9,4805.72
-9.58552,1.22027,-8.36525,29927.5,-27274.9,4851.08
-9.59389,1.39121,-8.20268,29377.8,-30703.1,806.158
-9.59739,1.26761,-8.32978,29220,-28307.3,3102.55
-9.57273,1.33744,-8.23529,29058.6,-28302.6,2942.06
-9.60639,1.34519,-8.2612,28831.4,-29290.9,1727.25
-9.50866,1.25415,-8.25452,28467.7,-25034.1,5615.46
-9.50926,1.28788,-8.22139,28775.2,-29016,1946.93
-9.58918,1.35264,-8.23653,27969.1,-30225.6,-70.4636
-9.59026,1.25524,-8.33503,28552.1,-27093,3600.02
-9.64351,1.33672,-8.30679,29123,-29374.9,1898.9
-9.54854,1.24062,-8.30791,28661.6,-26539.9,4330.48
-9.55708,1.24652,-8.31056,28589.4,-25810.9,4925.53
-9.5791,1.30797,-8.27113,29417.5,-28706.2,2903.28
-9.61102,1.2922,-8.31882,28488,-27508,3154.37
-9.51865,1.28149,-8.23717,29237.9,-27123.5,4268.29
-9.63663,1.35878,-8.27785,29679.9,-28166.3,3659.26
-9.69943,1.3935,-8.30593,29220.6,-29273.8,2126.06
-9.60891,1.26311,-8.3458,28785.4,-27251.9,3714.18
-9.6041,1.33308,-8.27103,29162,-29460.6,1885.9
-9.68891,1.35886,-8.33005,29216.5,-29875.4,1479.16
-9.56762,1.30132,-8.2663,29809.8,-25629.1,6345.28
-9.52795,1.24314,-8.28481,29253.2,-26316.8,5101.7
-9.53576,1.29745,-8.2383,30102.6,-28496.3,3726.76
-9.42536,1.27916,-8.1462,29849.7,-28525.6,3475.13
-9.61757,1.35593,-8.26165,29599.9,-29335.9,2483.45
-9.63821,1.28846,-8.34975,30460.8,-29823.8,2795.19
-9.56567,1.26624,-8.29943,29345.4,-25690.7,5798.38
-9.53208,1.26311,-8.26897,29385.8,-25981.9,5537.15
-9.6448,1.39724,-8.24756,28682.9,-27717.8,3098.43
-9.71677,1.38886,-8.32791,29231.4,-31266.4,152.972
-9.56557,1.29508,-8.27049,29490.9,-26780,4888.46
-9.59586,1.31472,-8.28114,29586.6,-28996.4,2785.41
-9.65788,1.27187,-8.38601,28706.8,-27051.9,3822.92
-9.60292,1.30193,-8.30099,29270.8,-27253.5,4197.54
-9.5307,1.37816,-8.15254,29278.5,-27987.9,3487.25
-9.51327,1.33952,-8.17375,30207,-27103.4,5296.78
-9.6171,1.2925,-8.3246,30054.6,-26878.7,5324.32
-9.5955,1.34449,-8.25101,30663.8,-29109.3,3759.82
-9.61215,1.27472,-8.33742,31441.2,-27575.2,6033.79
-9.65986,1.32803,-8.33183,30965.3,-27216.9,5926.56
-9.67808,1.37195,-8.30613,30471,-29158.8,3488.72
-9.59233,1.30836,-8.28397,30200.6,-27887.7,4486.2
-9.63236,1.26907,-8.3633,30359.6,-25190.7,7329.66
-9.6403,1.21649,-8.42381,30295.1,-28638.8,3804.64
-9.51293,1.31709,-8.19584,28308.8,-28072.2,2400.63
-9.55213,1.28682,-8.26532,28785.1,-25627.9,5328.08
-9.49809,1.24821,-8.24988,28669.6,-27338.3,3477.54
-9.54713,1.26145,-8.28568,28498.2,-27191.6,3468.83
-9.4729,1.29524,-8.17765,28665.2,-24997,5818.24
-9.43079,1.23947,-8.19131,28315.2,-25280.2,5213.34
-9.55685,1.23995,-8.31689,29262.6,-28646.3,2791.48
-9.5609,1.28399,-8.27691,28674.6,-26495.5,4358.9
-9.59967,1.3073,-8.29237,28670,-30222.9,579.887
-9.72813,1.2911,-8.43703,30188,-30739.7,1624.42
-9.7229,1.35967,-8.36322,30136.2,-29095.8,3193.94
-9.67565,1.31913,-8.35651,29056.2,-31067.6,141.285
-9.64468,1.30158,-8.3431,29918.2,-28662.6,3410.68
-9.65875,1.25726,-8.40149,30228.2,-27437.5,4946.15
-9.74727,1.31969,-8.42758,29786.2,-29835.6,2114.37
-9.5642,1.27356,-8.29064,28437,-26842.1,3775.49
-9.62027,1.32112,-8.29915,29040.9,-31321.5,-133.753
-9.61562,1.29371,-8.32191,30004.6,-28681.4,3481.5
