#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
10,-23021.439313483017,2707.786705024937,-20313.65260845808,143.78432584071197,0
20,-22893.811579944275,2766.1642387195006,-20127.647341224772,146.88419124404663,88.2
30,-22990.110628808703,2786.7457469872106,-20203.364881821493,147.9770758075043,78.7
40,-23026.46616329599,2788.8314542306766,-20237.634709065314,148.08782751824515,74.1
50,-23208.236906529084,2788.27559686542,-20419.961309663664,148.05831131729082,79.3
60,-23172.772128386743,2753.3729938782494,-20419.399134508494,146.20497211916143,81.7
70,-23202.524248316622,2845.1169793962554,-20357.407268920368,151.07660661059566,85.5
80,-22891.185381796764,2748.137439712773,-20143.04794208399,145.92696254599653,85.3
90,-22843.821701640292,2723.3459999176557,-20120.475701722637,144.61052929409138,88.3
100,-22920.931982115027,2786.1042985846348,-20134.82768353039,147.94301469554344,90.3
110,-22943.52381635722,2811.161865863739,-20132.361950493483,149.27357940056555,91.8
120,-22837.995665053255,2742.344009208291,-20095.651655844966,145.6193295637361,90.5
130,-22911.81574298798,2761.991631342703,-20149.824111645277,146.6626244797378,90
140,-22809.34096302875,2744.137027196706,-20065.203935832043,145.71453938296085,87.4
150,-22981.32503185878,2805.3730612419085,-20175.951970616872,148.96619205412912,87.2
160,-22843.138501353256,2775.2614149835376,-20067.877086369717,147.36725416541753,86.3
170,-22953.609839580007,2751.694016383173,-20201.915823196832,146.11581788600736,86.3
180,-22926.2329408512,2762.8799627831927,-20163.352978068007,146.70979515867526,87
190,-22960.6908717966,2806.628464706746,-20154.062407089856,149.0328543730314,88.2
200,-22972.075995902997,2785.44877076333,-20186.627225139666,147.90820596201905,87.7
210,-23095.086876183923,2798.8692967794987,-20296.217579404423,148.6208401152489,88.7
220,-22930.30405386786,2742.2573275748173,-20188.046726293043,145.61472674173072,89.3
230,-22869.432080740866,2786.953482928822,-20082.478597812045,147.98810665135255,90.3
240,-22906.994696076174,2757.121556325879,-20149.873139750296,146.4040219643372,88
250,-22859.951138412274,2729.049525268329,-20130.901613143946,144.91338828440257,88.3
260,-22989.42855545075,2749.756962112282,-20239.67159333847,146.01295969487285,87
270,-22966.055968487548,2753.4974391670103,-20212.558529320537,146.2115802031421,87.4
280,-22729.79300959999,2785.8381227391596,-19943.954886860833,147.92888067441626,86.7
290,-22892.08918208604,2802.09241253982,-20089.996769546222,148.7919885760359,87
300,-22879.0344304279,2790.6517456502606,-20088.382684777636,148.1844855652445,87.8
310,-22817.085181226605,2763.7883279974176,-20053.296853229185,146.75802963730024,88.6
320,-22994.470727491163,2786.2828524672523,-20208.187875023912,147.95249596287917,88.3
330,-22809.069580489653,2790.1766739514487,-20018.892906538204,148.1592591085916,88.9
340,-22827.617733983207,2768.633998013292,-20058.983735969916,147.01533623947319,89.5
350,-22626.55478389417,2741.435234967161,-19885.11954892701,145.57107336565377,90.1
360,-22929.134922100056,2761.4129759104767,-20167.72194618958,146.63189769425566,89
370,-23012.473186281422,2758.7829098687016,-20253.690276412723,146.49224036008252,88.4
380,-22900.030330423135,2810.063175861843,-20089.96715456129,149.21523861584367,87.8
390,-22833.828310332,2791.819502454598,-20042.008807877402,148.24649381890274,88.4
400,-22909.8725109573,2851.525539374046,-20058.346971583254,151.41690316139355,87.9
410,-22946.697208424128,2797.505351811764,-20149.191856612364,148.54841420839827,88.3
420,-22981.380616026625,2710.6068335256077,-20270.77378250102,143.9340755512415,88.8
430,-23143.771417945056,2733.4330156894216,-20410.338402255635,145.14615300470217,89.4
440,-22833.225913187955,2783.2311350274335,-20049.994778160522,147.79044880682864,89.2
450,-23039.134394845198,2829.369635828114,-20209.76475901708,150.24041771339577,89.5
460,-22843.173516951254,2782.171936807244,-20061.00158014401,147.73420504813856,90
470,-22904.32724873822,2827.9365043351427,-20076.390744403077,150.1643179802907,90.2
480,-23006.72508800011,2721.5356832279413,-20285.189404772165,144.51440090838588,89.6
490,-22890.2697137738,2792.919843148794,-20097.349870625007,148.30492225590498,89.2
500,-23118.028063325255,2781.8614988772915,-20336.166564447965,147.71772069640187,89.1
510,-23120.54330048681,2821.664936682063,-20298.878363804746,149.83129576502938,89.5
520,-22833.541471432487,2818.3963145328207,-20015.145156899667,149.65773090067552,89.2
530,-22738.147171131015,2785.2529201450766,-19952.894250985937,147.89780623257997,89.6
540,-22953.67871919443,2760.6704162585697,-20193.00830293586,146.59246754314816,90
550,-22979.34778385522,2780.5030403416854,-20198.844743513535,147.64558612082314,90.4
560,-22796.187897212396,2752.700424263963,-20043.487472948433,146.16925846106878,90.3
570,-23031.929425188835,2756.3755907731775,-20275.55383441566,146.3644109588261,90.6
580,-23096.25159009511,2757.123781468784,-20339.127808626326,146.40414012012542,91
590,-22982.767743388977,2725.6273894433834,-20257.140353945593,144.7316717955772,91.3
600,-22916.41077383689,2774.848425497902,-20141.56234833899,147.34532429381383,90.6
610,-23102.63920572633,2802.302720831178,-20300.336484895153,148.80315601246483,90
620,-23034.474020316295,2768.9302281291966,-20265.543792187098,147.0310661518145,90
630,-23027.04646933626,2768.6955090394467,-20258.35096029681,147.01860249431186,90.3
640,-22974.41507090407,2778.5380936232964,-20195.876977280772,147.5412468319522,90
650,-23021.247649980214,2786.40669881538,-20234.840951164835,147.95907224292378,90.1
660,-23060.446406078263,2762.77846132163,-20297.667944756635,146.70440539913642,90.5
670,-22941.115816173187,2743.9997538945854,-20197.1160622786,145.70725012743537,90.8
680,-23051.19861374976,2753.911610398927,-20297.28700335083,146.23357282584507,90.7
690,-23094.286283278256,2801.4818327528565,-20292.8044505254,148.75956659727456,91
700,-23035.4691850229,2749.566559155827,-20285.90262586707,146.00284923798893,91.3
710,-22785.24446589507,2753.9556935808882,-20031.288772314183,146.2359136566747,91.4
720,-22974.92160492846,2762.268920225233,-20212.652684703226,146.6773486066285,91
730,-22956.624411483004,2764.0369532324266,-20192.58745825058,146.77123171549067,90.6
740,-23087.44361293236,2720.4539298320833,-20366.989683100277,144.45695946277252,90.6
750,-22795.268304727695,2718.3298915684245,-20076.93841315927,144.34417236280143,90.7
