#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
5760,-22721.3360864376,5699.8842829657915,-17021.45180347181,302.66564847054997,79.2
5940,-22673.141215603362,5702.394747202531,-16970.74646840083,302.7989549112519,79.4
6120,-22664.800626689597,5625.057683795391,-17039.742942894205,298.69233251597217,79.6
6300,-22842.97582744941,5678.849001126731,-17164.126826322678,301.54866838770744,79.8
6480,-22904.804940542614,5666.284952072191,-17238.519988470423,300.8815134305669,79.6
6660,-22702.203799670955,5462.046101631444,-17240.15769803951,290.03636622358465,79.8
6840,-22802.443990019063,5522.658997539452,-17279.78499247961,293.25493006364377,79.9
7020,-22984.82059813339,5830.978551428426,-17153.842046704962,309.6267953649866,80.1
7200,-22862.127169100713,5755.519643250126,-17106.607525850588,305.6199036031803,79.9
7380,-22696.008242482945,5468.336875771975,-17227.67136671097,290.3704083093715,80.1
7560,-22811.511636310286,5535.801762685894,-17275.709873624393,293.9528150273144,80.2
7740,-22730.662762207357,5570.190342586567,-17160.47241962079,295.77885943785157,80.4
7920,-22850.36876304203,5656.25409741606,-17194.114665625973,300.34887189286326,80.2
8100,-22640.48727222369,5509.289699852678,-17131.197572371013,292.54501615081995,80.4
8280,-22775.021272748418,5676.719345273329,-17098.301927475088,301.43558299195377,80.5
8460,-22631.74924668524,5566.039240588596,-17065.710006096648,295.5584346159235,80.6
8640,-22736.70085735868,5634.663654679621,-17102.037202679057,299.20241259172974,80.5
8820,-22620.773877002895,5464.067807814682,-17156.706069188214,290.1437194578942,80.6
9000,-22583.41003244274,5475.321546980748,-17108.088485461994,290.74129654776516,80.7
9180,-22811.52794897936,5682.930539312352,-17128.59740966701,301.7653993493166,80.9
9360,-22771.42714208724,5547.859780810637,-17223.567361276604,294.59309958289765,80.7
9540,-22850.901854088792,5617.880771064128,-17233.021083024665,298.31123619225974,80.8
9720,-22853.95384216128,5587.65069373376,-17266.30314842752,296.70600957636964,80.9
9900,-22517.103054235587,5386.9379335958265,-17130.165120639762,286.0480988736891,81
10080,-22657.88134001472,5508.552824712871,-17149.328515301848,292.5058878490932,80.8
10260,-22820.940391843265,5486.0023159920875,-17334.938075851176,291.30844874217763,80.9
10440,-22752.15001881351,5481.549113220197,-17270.600905593314,291.07198227412084,81
10620,-22755.989245276767,5616.824454805668,-17139.1647904711,298.25514546664414,81.2
10800,-22779.65937511911,5620.225941728849,-17159.433433390263,298.4357654922901,81
10980,-22870.152393875207,5687.791604183076,-17182.36078969213,302.0235234231249,81.1
11160,-23022.971375862166,5719.4857690904455,-17303.48560677172,303.70649354992025,81.2
11340,-22927.126132910198,5702.510146028442,-17224.615986881756,302.8050826252094,81.3
11520,-22765.026055668466,5564.854875832062,-17200.171179836405,295.4955444747792,81.2
11700,-22896.144720866316,5722.778488152316,-17173.366232714,303.88133796791493,81.3
11880,-22712.742983203207,5569.877933839209,-17142.865049363998,295.7622704350906,81.4
12060,-22787.16975982691,5711.195874711065,-17075.973885115844,303.2662975505758,81.4
12240,-22775.87248283405,5689.445430516227,-17086.42705231782,302.1113421216688,81.3
12420,-22654.259336089337,5602.389493927248,-17051.86984216209,297.48864450311214,81.4
12600,-22731.198512693096,5586.63274480909,-17144.565767884007,296.65195616824764,81.5
12780,-22634.070588678136,5390.933093233037,-17243.1374954451,286.2602431072051,81.5
12960,-22773.12374962709,5471.892205658527,-17301.231543968563,290.5591974447678,81.4
