Temp,Einter,Eintra,Etotal,Pinter,Pintra,Ptotal
145.528,-9.67495,1.21571,-8.45925,32320.4,-27673.8,6706.32
149.287,-9.58987,1.22297,-8.3669,32183.7,-27243.2,7053.4
148.929,-9.73002,1.3031,-8.42692,31264.3,-30380.7,2991.44
145.283,-9.66764,1.24049,-8.42715,30876,-27892.2,5040.01
147.308,-9.77878,1.30729,-8.4715,30251.4,-31387.7,948.691
149.369,-9.77797,1.27425,-8.50373,30130.4,-27140.7,5103.79
149.371,-9.73637,1.28383,-8.45254,30807.5,-30186.9,2734.72
146.297,-9.73991,1.2387,-8.50121,30004.6,-28374.8,3700.35
148.239,-9.70454,1.23235,-8.47219,31066,-28676.5,4487.65
150.918,-9.62486,1.15738,-8.46748,30741.6,-27424.9,5452.68
146.587,-9.57384,1.17449,-8.39935,30120.3,-28528.6,3666.36
147.804,-9.6109,1.21732,-8.39359,31173.2,-29640.4,3624.75
150.114,-9.6239,1.23877,-8.38513,30887.2,-29078.9,3932.98
147.063,-9.64253,1.25244,-8.3901,31350.4,-28931.5,4500.41
147.545,-9.59885,1.2299,-8.36894,30212.8,-27469.2,4831.87
146.364,-9.78151,1.26947,-8.51204,30687.9,-29611,3148.48
147.222,-9.65338,1.31929,-8.33408,31095.5,-29605.9,3573.32
147.537,-9.69143,1.22874,-8.46269,30706.9,-26665.6,6129.44
148.2,-9.63257,1.27138,-8.36119,30344.6,-27340.9,5101.24
146.536,-9.60552,1.23759,-8.36793,30427,-28626.6,3874.34
147.25,-9.65596,1.23825,-8.41771,30133.7,-27676.2,4541.67
149.08,-9.64341,1.25549,-8.38791,30784.3,-26799.6,6094.69
150.264,-9.66939,1.25003,-8.41936,29105.7,-28264.8,2967.65
146.872,-9.63876,1.19886,-8.4399,30761.7,-27020.1,5820.35
149.726,-9.73219,1.23858,-8.49361,30463.6,-28539.4,4043.41
149.187,-9.69297,1.30519,-8.38777,30164.5,-29083.9,3192.15
147.884,-9.63945,1.25964,-8.37982,29909.8,-27925.3,4077.58
148.617,-9.59149,1.20091,-8.39058,29714.2,-28550.2,3267.46
148.191,-9.60709,1.23865,-8.36844,30086.1,-27309.7,4873.81
147.124,-9.68476,1.30405,-8.38071,29293.3,-27888.4,3487.18
149.619,-9.60726,1.30429,-8.30298,30214.6,-29442.4,2889.88
